head,role,condition,signed_mean,mean_absolute_pair,max_absolute_pair,mean_absolute_family
L14H10,source,corruption,0.00040063660126178743,0.0038582456065341377,0.0159021168947219,0.0034907732857390877
L14H23,target,reorder,0.0002040876424871386,0.0021794227533973335,0.0072765224613249,0.0016054328298196012
L14H23,target,corruption,5.448879674075284e-05,0.0006659407634287578,0.0021814960055053,0.0005696763866580728
L14H23,source,reorder,-8.879575107130432e-05,0.001515586577443124,0.0039406445575878,0.0009400201895914262
L14H23,source,corruption,4.802104522240756e-05,0.00016777084529163722,0.0008105589076876,0.0001390653473208435
L14H26,target,reorder,-0.0011463152768555877,0.0029630030388943323,0.0127680120058357,0.0017585865047294526
L14H26,target,corruption,0.00046887540374881254,0.0018238360004033424,0.007423726376146,0.001733332505682448
L14H26,source,reorder,-0.033861972717568245,0.043052771734073715,0.1005185511894524,0.03532370678149161
L14H26,source,corruption,-0.0015513063408434439,0.004904318228363946,0.0214082598686218,0.004482772015035128
L15H0,target,reorder,-2.263799033244043e-05,0.0002004000820306467,0.0008397781348321,0.00015415780708278993
L15H0,target,corruption,4.980902667723973e-06,0.0001275988961424198,0.0006290728342719,0.0001230306927027166
L15H0,source,reorder,0.00032214554526034027,0.00040436983676951616,0.0018559554300736,0.00033812887636484694
L15H0,source,corruption,1.075218929144781e-05,4.082004502378489e-05,0.0001997351064346,3.987402355959724e-05
L15H18,target,reorder,-0.009500593105622065,0.01140203141258093,0.0635853530839085,0.009642596794583331
L15H18,target,corruption,0.00047977396388886544,0.008005220864288226,0.0799085050821304,0.007690734686184404
L15H18,source,reorder,0.00472257009171244,0.005351165743900266,0.0469429406803101,0.004923922102193484
L15H18,source,corruption,-9.600731482349371e-05,0.0004771656085722156,0.0024573835544288,0.0003988614173067371
L15H2,target,reorder,0.0015366045699920401,0.004082444153027551,0.0162092735990881,0.002268106554402015
L15H2,target,corruption,0.0002884606656152856,0.003487557795597196,0.0187577009201049,0.0034200168622191647
L15H2,source,reorder,0.003325481357751388,0.0035153294506016625,0.016302780713886,0.0033290607214439367
L15H2,source,corruption,-3.776783414650162e-05,0.000310275939409585,0.0013111250009387,0.00022080086346247513
L15H25,target,reorder,-0.00895994198508558,0.014617578499019101,0.0373683776706457,0.009352926444262246
L15H25,target,corruption,0.003194309165701252,0.007521437713876313,0.0349926725029945,0.006919912807643383
L15H25,source,reorder,-0.023293882829602784,0.04290297388797622,0.1361897550523281,0.03167739066993815
L15H25,source,corruption,-0.0013904399238526747,0.0045546086505055,0.0235660150647163,0.0037241602316498553
L15H27,target,reorder,0.0012115175952203475,0.003505036106798742,0.0100825214758515,0.0016287589678540676
L15H27,target,corruption,-0.00017157828551717184,0.001866980380145793,0.008566818665713,0.001649044203804774
L15H27,source,reorder,-0.023791366571094808,0.03578199300682168,0.0918228924274444,0.030572269333060793
L15H27,source,corruption,-0.0027733478695154074,0.005436686426401087,0.0181344524025917,0.0049782858230173165
L15H28,target,reorder,-0.026362717011943426,0.028125982591882304,0.0651100631803274,0.026362717011943433
L15H28,target,corruption,0.007507058023475096,0.019504623510874758,0.0792218521237373,0.018419722211547154
L15H28,source,reorder,0.006812097690999516,0.03725490663200612,0.1369169056415558,0.02806946821510789
L15H28,source,corruption,-0.0019890579394996077,0.010026684962212982,0.0444641932845115,0.008925731107592545
L15H29,target,reorder,-0.0004470329877221759,0.0010029916564235062,0.0043126121163368,0.0008192250650608582
L15H29,target,corruption,0.0003008158324519077,0.0007737270818324344,0.0023814949672669,0.0006816249719122176
L15H29,source,reorder,-0.002189043935504717,0.002900890869204837,0.0082048466429114,0.0023336147918598454
L15H29,source,corruption,0.0001881743373814916,0.0006278475571889066,0.0023665875196456,0.00040874149999580166
L15H3,target,reorder,0.010576397855766102,0.01593534010462458,0.0465148612856864,0.012532740226015424
L15H3,target,corruption,-0.0016091515775769852,0.008076722663827196,0.0320985065773129,0.007470291783101825
L15H3,source,reorder,-0.01561272316612301,0.037982595944777084,0.1164328232407569,0.027955068321898546
L15H3,source,corruption,0.0014186667278408996,0.00932394992560143,0.0334027558565139,0.00815160665661094
L16H1,target,reorder,0.0017210794831043976,0.011468962686194522,0.1129309143871069,0.009558958363777462
L16H1,target,corruption,-0.002733357052784396,0.006417810730636081,0.0259895259514451,0.005741297337226543
L16H1,source,reorder,-0.09419103818945587,0.21694834488444026,0.4723025541752577,0.1349610626231879
L16H1,source,corruption,-0.020607934519648537,0.05164626799523826,0.2127734273672104,0.0479999180883169
L16H16,target,reorder,0.0031292009807657372,0.008429685997543802,0.0246333554387092,0.005086184927495173
L16H16,target,corruption,-0.001257576874922954,0.0037500658072530807,0.0143661722540855,0.002904813771601744
L16H16,source,reorder,-0.031751695577986516,0.047231557522900355,0.131535105407238,0.041217278991825854
L16H16,source,corruption,-0.0008115444332361251,0.0129856893792748,0.0425349399447441,0.010550928115844706
L16H2,target,reorder,0.0004161200668022563,0.0034300844934477435,0.0121504994458518,0.0025141310463368165
L16H2,target,corruption,0.00032530667376704886,0.002790502965217413,0.0163788367062807,0.002461604279233112
L16H2,source,reorder,-0.06162403558846561,0.10625038908328857,0.3452088460326195,0.07371556160505859
L16H2,source,corruption,-0.022604534355923522,0.037409225432202174,0.1526250839233398,0.033431649161502694
L16H21,target,reorder,0.0019406940795306626,0.004251780689082758,0.0234779785387218,0.0037566456121566824
L16H21,target,corruption,-0.0023066692054271626,0.0041106341988779126,0.0237834779545664,0.0037055167340440272
L16H21,source,reorder,0.09756548255681992,0.22922034338116645,0.5994856804609299,0.14633784666657448
L16H21,source,corruption,0.010577592253684992,0.05722656957805152,0.1964720487594604,0.04353656955063341
L16H24,target,reorder,0.031874682196212215,0.038494966405414686,0.2121122456155717,0.03258395821976591
L16H24,target,corruption,-0.003866128734080102,0.009058401139918668,0.0213724877685308,0.007643255440052557
L16H24,source,reorder,-0.15797092418652028,0.2455171289620921,0.6310338880866766,0.1704876946983859
L16H24,source,corruption,0.011182236671447741,0.044779449701309156,0.0982435643672943,0.03500996455550191
L16H31,target,reorder,0.0011971361789619548,0.00687674697546749,0.0160968173295259,0.003162329280166875
L16H31,target,corruption,-0.0021618796454276677,0.004353785730199838,0.0109301842749118,0.0041004326834808685
L16H31,source,reorder,-0.06593238182831553,0.08173166748601939,0.1868835836648941,0.0764746031956747
L16H31,source,corruption,-0.001275974605232475,0.019598382990807246,0.0593848973512649,0.015539905708283166
L16H4,target,reorder,0.004436873616941722,0.008283593428495764,0.0457538329064846,0.006171714882657377
L16H4,target,corruption,-0.0019842083391267648,0.0031817568175028553,0.015042426995933,0.002849813440116095
L16H4,source,reorder,-0.0623370483284816,0.08982217123266305,0.2603867761790752,0.07533949983771888
L16H4,source,corruption,-0.01604555752128361,0.028714071400463538,0.1365164592862129,0.02588774170726535
L17H1,target,reorder,-0.011393611924722767,0.021144803753122637,0.07164734788239,0.013099644193425759
L17H1,target,corruption,-0.0006785633042454723,0.009951377660036039,0.0391077734529972,0.0096435408107936
L17H1,source,reorder,-0.02902276408858597,0.04837495633400972,0.1180558130145073,0.030131052434444427
L17H1,source,corruption,-0.0012232027715072,0.005990870040841354,0.0368665233254432,0.005739484005607629
L17H17,target,reorder,0.0018216452561318924,0.018104663211852258,0.0843666195869445,0.011497554648667557
L17H17,target,corruption,0.006852951273322102,0.01727489521726961,0.1145343873649835,0.016223979461938112
L17H17,source,reorder,-0.021103380899876335,0.03261627857573326,0.1012010537087917,0.02238711602985857
L17H17,source,corruption,-0.0021748700644820852,0.00581269534304732,0.0320183336734771,0.00504245841875669
L17H24,target,reorder,-0.031401466578245156,0.06779748834669586,0.1700063869357109,0.03642691541463137
L17H24,target,corruption,-0.0017853378318250044,0.025719654466956808,0.0954312533140182,0.02322164950892327
L17H24,source,reorder,-0.004490042314864701,0.019562179292552124,0.0621230937540531,0.010362264025025058
L17H24,source,corruption,-0.0010810915846377431,0.0030617780052125043,0.0150397196412086,0.0025952531956135944
L17H3,target,reorder,0.0010172165930271153,0.023122494481503917,0.1031935587525367,0.012494272552430612
L17H3,target,corruption,-0.006505873845890135,0.020418436685576986,0.0747627168893814,0.01921961684711274
L17H3,source,reorder,-0.033801786787807916,0.05723118074238296,0.1392955034971237,0.03428045716136692
L17H3,source,corruption,4.992661997675835e-05,0.015856595616787622,0.0771936923265457,0.013301378395408358
L17H5,target,reorder,0.002618482941761622,0.01996342535130674,0.08478819206357,0.009432396804913873
L17H5,target,corruption,0.003032907936722029,0.018719402793794825,0.0782951265573501,0.01688611181452866
L17H5,source,reorder,-0.04575483065564182,0.054325226810760754,0.2163499370217323,0.045828048442490374
L17H5,source,corruption,-0.0005685220006853151,0.010054996097460338,0.0333445221185684,0.00932027180679139
L18H15,target,reorder,0.03467048443853854,0.08138722050935025,0.2553806602954864,0.048334287479519816
L18H15,target,corruption,0.002984338486567148,0.04749483293853695,0.2018877565860748,0.03964517689310012
L18H15,source,reorder,-0.001689718104898937,0.024113939283415632,0.116519745439291,0.014939922839403133
L18H15,source,corruption,-0.004221793031319967,0.011593143874779298,0.0606129914522171,0.009589263191446639
L18H18,target,reorder,0.005738987959921355,0.047631995193660216,0.1497615575790405,0.02835575696080921
