head,anchor,current_role,events,families,target,control,gap
L14H26,last,control,27,13,0.010686869888255993,0.009301460881391142,0.0013854090068648516
L14H26,first,neither,9,8,0.008800636802334338,0.009261900682759006,-0.00046126388042466715
L14H26,last,neither,9,8,0.029775694361887872,0.020838666969211772,0.0089370273926761
L15H0,first,target,11,6,0.0039652641280554235,0.011478536194449085,-0.00751327206639366
L15H0,last,target,11,6,0.016596957251264637,0.019705225894641545,-0.0031082686433769086
L15H0,first,control,1,1,0.0,0.03283868730068207,-0.03283868730068207
L15H0,last,control,1,1,0.03897791728377342,0.0,0.03897791728377342
L15H0,first,neither,11,10,0.011171234617359005,0.005628186867882808,0.005543047749476197
L15H0,last,neither,11,10,0.025464235106483102,0.031726245465688405,-0.006262010359205305
L15H2,first,neither,147,66,0.0146735911579765,0.015763531409902498,-0.0010899402519259978
L15H2,last,neither,147,66,0.011125821855992658,0.01257352038870026,-0.001447698532707602
L15H2,first,control,49,29,0.01199119464606689,0.01586295939157663,-0.0038717647455097453
L15H2,last,control,49,29,0.007820016910568222,0.012052351128045912,-0.00423233421747769
L15H3,first,neither,53,30,0.013620924774246913,0.008176413380941893,0.005444511393305018
L15H3,last,neither,53,30,0.022800298821918353,0.021381254291940155,0.001419044529978203
L15H3,first,control,34,20,0.011236890277359635,0.014844067856029142,-0.003607177578669507
L15H3,last,control,34,20,0.005459027229032168,0.00934565565257799,-0.0038866284235458204
