pair_id,config_id,direction,query_mother_mass,child_last_mass,entropy,head_output_norm
016/direct/base/0/order1,cec41ab38193f8498178,restore,0.024158917658496648,3.63902909157332e-05,3.2502715260968253,1.4540450977515738
026/direct/base/0/order0,cec41ab38193f8498178,noise,0.009903183323331177,0.00020852651505265385,2.7251281563486485,1.0882081407688557
026/direct/base/0/order0,cec41ab38193f8498178,restore,0.0515952561981976,0.00023130957561079413,3.1815174675999556,1.1432153827037979
026/direct/base/0/order1,cec41ab38193f8498178,noise,0.01360912992095109,0.00012671407603193074,2.7751761763743064,0.8053269845884063
026/direct/base/0/order1,cec41ab38193f8498178,restore,0.03252951567992568,0.00010231909254798666,3.2308219977107915,1.122794947007311
032/direct/base/0/order0,cec41ab38193f8498178,noise,0.9179034666158259,0.00017927736917044967,0.9584985733946166,8.85452108256783
032/direct/base/0/order0,cec41ab38193f8498178,restore,0.03315140753693413,0.0003697173378895968,2.753633848992236,3.7410575241589568
032/direct/base/0/order1,cec41ab38193f8498178,noise,0.8173024861607701,8.634920231997967e-05,1.5249399348431827,7.292615258798936
032/direct/base/0/order1,cec41ab38193f8498178,restore,0.020920826667861547,0.00015695582260377705,2.0782033597887866,6.202670106578105
038/direct/base/0/order0,cec41ab38193f8498178,noise,0.04428701938013546,5.613745815935545e-05,3.1970197485502663,1.0460569765759742
038/direct/base/0/order0,cec41ab38193f8498178,restore,0.042212349362671375,0.00010488853877177462,3.2401285041198715,1.4774149335002655
038/direct/base/0/order1,cec41ab38193f8498178,noise,0.034598587051732466,7.392158295260742e-05,3.483170427396092,1.7508273444957914
038/direct/base/0/order1,cec41ab38193f8498178,restore,0.014079855405725539,4.938837810186669e-05,3.2807435561678773,1.9020836864606536
046/direct/base/0/order0,cec41ab38193f8498178,noise,0.009371697873575613,2.748842780420091e-05,2.836602512064919,1.8133798210657088
046/direct/base/0/order0,cec41ab38193f8498178,restore,0.017103931459132582,5.443643021862954e-05,2.8847884523672853,2.0028778921649026
046/direct/base/0/order1,cec41ab38193f8498178,noise,0.010211825370788574,2.3778624381520785e-05,2.939262803229766,2.0881267954573928
046/direct/base/0/order1,cec41ab38193f8498178,restore,0.013283457283250755,3.0206563678802922e-05,3.1048465958085423,2.852221438863403
