id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference
G2:L17H24:change,restore,69,0.0009808091149813888,0.016180463459180748,0.00140380859375,-0.0564422607421875,0.05844879150390625,0.5362318840579711,0.0,False,below_rule,-0.004174716057984726,0.006026120980580646,0.02708702502043351
G2:L17H24:conditional,noise,69,0.32061574078988336,0.32061574078988336,0.318115234375,0.0037384033203125,0.7130126953125,1.0,0.9565217391304348,True,coherent,0.28562284310658775,0.3562824712283369,0.38304879008859827
G2:L17H24:conditional,restore,69,0.2945114667864813,0.2945114667864813,0.27652740478515625,0.045166015625,0.5937843322753906,1.0,0.9565217391304348,True,coherent,0.26456616443136466,0.32479115171708917,0.3572869300842285
G2:L18H19:change,noise,69,0.06399887195531873,0.09358345252880151,0.0596923828125,-0.1629638671875,0.38623046875,0.782608695652174,0.42028985507246375,False,below_rule,0.04111881169719973,0.08760601489440246,0.15321643110634625
G2:L18H19:change,restore,69,0.06044289340143618,0.09004642306894496,0.05389404296875,-0.1651611328125,0.3065185546875,0.7391304347826086,0.36231884057971014,False,below_rule,0.03702896487885627,0.08394510288169417,0.16357640943665436
G2:L18H19:conditional,noise,69,1.6756632846334707,1.6756632846334707,1.5966796875,0.064300537109375,4.041611194610596,1.0,0.9855072463768116,True,coherent,1.5044730461162068,1.8564206615738246,1.0467898880226025
G2:L18H19:conditional,restore,69,1.588019257006438,1.588019257006438,1.4717142581939697,0.0157470703125,2.8850746154785156,1.0,0.9855072463768116,True,coherent,1.4405882349048835,1.736948220539784,1.2223640455715898
G2:L19H16:change,noise,69,-0.03906112477399301,0.044402696084285126,-0.023895263671875,-0.39923095703125,0.0516815185546875,0.8115942028985508,0.08695652173913043,False,below_rule,-0.05658728005229563,-0.024770463376805413,0.06505124465278957
G2:L19H16:change,restore,69,-0.031071244806483173,0.03518072418544604,-0.0232391357421875,-0.1798095703125,0.035308837890625,0.8405797101449275,0.057971014492753624,False,below_rule,-0.041004060662311055,-0.02208257723545684,0.05841615234596142
G2:L19H16:conditional,noise,69,-0.44373259337052057,0.4441574069036954,-0.366180419921875,-1.7457275390625,0.01465606689453125,0.9855072463768116,0.8985507246376812,True,coherent,-0.525556384653285,-0.36945024987925673,0.3395414767057999
G2:L19H16:conditional,restore,69,-0.4198479410530864,0.4230757277944814,-0.3897705078125,-1.164306640625,0.105987548828125,0.9565217391304348,0.927536231884058,True,coherent,-0.4816674942555635,-0.3592947331891544,0.31991121734398
G2:L20H7:change,noise,69,0.007546487061873726,0.05320155793342037,-0.002079010009765625,-0.14190673828125,0.436279296875,0.463768115942029,0.10144927536231885,False,below_rule,-0.012311046192611473,0.030738134487815514,0.058216025863868606
G2:L20H7:change,restore,69,-0.0006576897441477015,0.036880085433738816,-0.00060272216796875,-0.191925048828125,0.280517578125,0.5072463768115942,0.08695652173913043,False,below_rule,-0.014343871586564659,0.013779997566471906,0.07402765578117923
G2:L20H7:conditional,noise,69,-0.16865214748658997,0.36243082129436993,-0.26656341552734375,-0.92547607421875,1.195556640625,0.8695652173913043,0.9130434782608695,True,coherent,-0.25921392527179443,-0.067703333972157,0.1929395924443784
G2:L20H7:conditional,restore,69,-0.12139401919599893,0.3051515593045,-0.222747802734375,-0.710540771484375,1.3125,0.8115942028985508,0.8840579710144928,True,coherent,-0.2001508877761122,-0.03254902613335766,0.16751484248949133
G2:L22H5:change,noise,69,0.09657982121343198,0.10094416659811269,0.073883056640625,-0.08166122436523438,0.498992919921875,0.927536231884058,0.391304347826087,True,heterogeneous,0.07463000960971998,0.12127120425735693,0.06879630987195001
