layer,head,fact_block,position,distance,evals,qk_passes,scored,families,frequency,strength_first,strength_last
0,29,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,29,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,29,test,test_other,previous,2136,0,0,0,0.0,,
0,29,test,test_other,self,2136,0,0,0,0.0,,
0,30,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,30,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,30,demo,demo,previous,8544,0,0,0,0.0,,
0,30,demo,demo,self,8544,0,0,0,0.0,,
0,30,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,30,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,30,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,30,test,test_other,previous,2136,0,0,0,0.0,,
0,30,test,test_other,self,2136,0,0,0,0.0,,
0,31,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,31,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,31,demo,demo,previous,8544,0,0,0,0.0,,
0,31,demo,demo,self,8544,0,0,0,0.0,,
0,31,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,31,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,31,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,31,test,test_other,previous,2136,0,0,0,0.0,,
0,31,test,test_other,self,2136,0,0,0,0.0,,
1,0,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,0,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,0,demo,demo,previous,8544,0,0,0,0.0,,
1,0,demo,demo,self,8544,0,0,0,0.0,,
1,0,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,0,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,0,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,0,test,test_other,previous,2136,0,0,0,0.0,,
1,0,test,test_other,self,2136,0,0,0,0.0,,
1,1,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,1,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,1,demo,demo,previous,8544,0,0,0,0.0,,
1,1,demo,demo,self,8544,600,600,73,0.0702247191011236,0.007609978541731835,0.05535861603915691
1,1,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,1,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,1,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,1,test,test_other,previous,2136,0,0,0,0.0,,
1,1,test,test_other,self,2136,72,72,10,0.033707865168539325,0.005571047422967644,0.011043748391481737
1,2,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,2,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,2,demo,demo,previous,8544,0,0,0,0.0,,
1,2,demo,demo,self,8544,0,0,0,0.0,,
1,2,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,2,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,2,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,2,test,test_other,previous,2136,0,0,0,0.0,,
1,2,test,test_other,self,2136,0,0,0,0.0,,
1,3,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,3,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,3,demo,demo,previous,8544,0,0,0,0.0,,
1,3,demo,demo,self,8544,0,0,0,0.0,,
1,3,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,3,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,3,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,3,test,test_other,previous,2136,0,0,0,0.0,,
1,3,test,test_other,self,2136,0,0,0,0.0,,
1,4,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,4,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,4,demo,demo,previous,8544,0,0,0,0.0,,
1,4,demo,demo,self,8544,0,0,0,0.0,,
1,4,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,4,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,4,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,4,test,test_other,previous,2136,0,0,0,0.0,,
1,4,test,test_other,self,2136,0,0,0,0.0,,
1,5,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,5,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,5,demo,demo,previous,8544,0,0,0,0.0,,
1,5,demo,demo,self,8544,0,0,0,0.0,,
1,5,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,5,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,5,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,5,test,test_other,previous,2136,0,0,0,0.0,,
1,5,test,test_other,self,2136,0,0,0,0.0,,
1,6,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,6,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,6,demo,demo,previous,8544,0,0,0,0.0,,
1,6,demo,demo,self,8544,0,0,0,0.0,,
1,6,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,6,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,6,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,6,test,test_other,previous,2136,0,0,0,0.0,,
1,6,test,test_other,self,2136,0,0,0,0.0,,
1,7,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,7,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,7,demo,demo,previous,8544,0,0,0,0.0,,
1,7,demo,demo,self,8544,0,0,0,0.0,,
1,7,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,7,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,7,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,7,test,test_other,previous,2136,0,0,0,0.0,,
1,7,test,test_other,self,2136,0,0,0,0.0,,
1,8,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,8,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,8,demo,demo,previous,8544,0,0,0,0.0,,
1,8,demo,demo,self,8544,0,0,0,0.0,,
1,8,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,8,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
