config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator
direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H18|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H18|ch=V|med=none|live=none,L13H18,fact2_mother,L18H18,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H19|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H19|ch=K|med=none|live=none,L13H18,fact2_mother,L18H19,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H19|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H19|ch=V|med=none|live=none,L13H18,fact2_mother,L18H19,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_template|recv=L16H1|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L16H1|ch=K|med=none|live=none,L13H18,fact2_template,L16H1,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_template|recv=L16H1|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L16H1|ch=V|med=none|live=none,L13H18,fact2_template,L16H1,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_template|recv=L16H21|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L16H21|ch=K|med=none|live=none,L13H18,fact2_template,L16H21,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_template|recv=L16H21|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L16H21|ch=V|med=none|live=none,L13H18,fact2_template,L16H21,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_template|recv=L18H18|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L18H18|ch=K|med=none|live=none,L13H18,fact2_template,L18H18,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_template|recv=L18H18|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L18H18|ch=V|med=none|live=none,L13H18,fact2_template,L18H18,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_template|recv=L18H19|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L18H19|ch=K|med=none|live=none,L13H18,fact2_template,L18H19,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_template|recv=L18H19|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L18H19|ch=V|med=none|live=none,L13H18,fact2_template,L18H19,V,direct_comparator_l13_control,True
direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact1_mother,L16H1,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact1_mother,L16H1,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H21|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact1_mother,L16H21,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H21|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H21|ch=V|med=none|live=none,L13H18,fact1_mother,L16H21,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact1_mother|recv=L18H18|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L18H18|ch=K|med=none|live=none,L13H18,fact1_mother,L18H18,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact1_mother|recv=L18H18|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L18H18|ch=V|med=none|live=none,L13H18,fact1_mother,L18H18,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact1_mother|recv=L18H19|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L18H19|ch=K|med=none|live=none,L13H18,fact1_mother,L18H19,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact1_mother|recv=L18H19|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L18H19|ch=V|med=none|live=none,L13H18,fact1_mother,L18H19,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_mother|recv=L16H1|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact3_mother,L16H1,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_mother|recv=L16H1|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact3_mother,L16H1,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_mother|recv=L16H21|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact3_mother,L16H21,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_mother|recv=L16H21|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_mother|recv=L16H21|ch=V|med=none|live=none,L13H18,fact3_mother,L16H21,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_mother|recv=L18H18|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_mother|recv=L18H18|ch=K|med=none|live=none,L13H18,fact3_mother,L18H18,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_mother|recv=L18H18|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_mother|recv=L18H18|ch=V|med=none|live=none,L13H18,fact3_mother,L18H18,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_mother|recv=L18H19|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_mother|recv=L18H19|ch=K|med=none|live=none,L13H18,fact3_mother,L18H19,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_mother|recv=L18H19|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_mother|recv=L18H19|ch=V|med=none|live=none,L13H18,fact3_mother,L18H19,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_template|recv=L16H1|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_template|recv=L16H1|ch=K|med=none|live=none,L13H18,fact3_template,L16H1,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_template|recv=L16H1|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_template|recv=L16H1|ch=V|med=none|live=none,L13H18,fact3_template,L16H1,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_template|recv=L16H21|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_template|recv=L16H21|ch=K|med=none|live=none,L13H18,fact3_template,L16H21,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_template|recv=L16H21|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_template|recv=L16H21|ch=V|med=none|live=none,L13H18,fact3_template,L16H21,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_template|recv=L18H18|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_template|recv=L18H18|ch=K|med=none|live=none,L13H18,fact3_template,L18H18,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_template|recv=L18H18|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_template|recv=L18H18|ch=V|med=none|live=none,L13H18,fact3_template,L18H18,V,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_template|recv=L18H19|ch=K|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_template|recv=L18H19|ch=K|med=none|live=none,L13H18,fact3_template,L18H19,K,direct_comparator_l13_primary,True
direct_l13_primary|src=L13H18|site=fact3_template|recv=L18H19|ch=V|med=none|live=none,direct_l13_primary|src=L13H18|site=fact3_template|recv=L18H19|ch=V|med=none|live=none,L13H18,fact3_template,L18H19,V,direct_comparator_l13_primary,True
local|src=L13H18|site=fact1_mother|recv=L16H1|ch=K|med=MLP13+MLP14|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact1_mother,L16H1,K,local,False
local|src=L13H18|site=fact1_mother|recv=L16H1|ch=K|med=MLP13|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact1_mother,L16H1,K,local,False
local|src=L13H18|site=fact1_mother|recv=L16H1|ch=K|med=MLP14|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact1_mother,L16H1,K,local,False
local|src=L13H18|site=fact1_mother|recv=L16H1|ch=V|med=MLP13+MLP14|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact1_mother,L16H1,V,local,False
local|src=L13H18|site=fact1_mother|recv=L16H1|ch=V|med=MLP13|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact1_mother,L16H1,V,local,False
local|src=L13H18|site=fact1_mother|recv=L16H1|ch=V|med=MLP14|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact1_mother,L16H1,V,local,False
local|src=L13H18|site=fact1_mother|recv=L16H21|ch=K|med=MLP13+MLP14|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact1_mother,L16H21,K,local,False
local|src=L13H18|site=fact1_mother|recv=L16H21|ch=K|med=MLP13|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact1_mother,L16H21,K,local,False
local|src=L13H18|site=fact1_mother|recv=L16H21|ch=K|med=MLP14|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact1_mother,L16H21,K,local,False
local|src=L13H18|site=fact1_mother|recv=L16H21|ch=V|med=MLP13+MLP14|live=none,direct_l13_primary|src=L13H18|site=fact1_mother|recv=L16H21|ch=V|med=none|live=none,L13H18,fact1_mother,L16H21,V,local,False
