layer,head,ri_first,ri_last,first_order_mean,final_estimate_mean,exact_subset_mean,exact_subset_mean_abs,exact_all_pairs_mean
3,26,0.0,0.0,-0.012107235322290445,-0.012107235322290445,-0.005620288848876953,0.017629718780517577,
3,27,0.0,0.0,0.0008817451130965034,0.0008817451130965034,0.0010469436645507812,0.015512657165527344,
3,28,0.0,0.0,0.005464638334835011,0.005464638334835011,-0.0034250259399414063,0.024895668029785156,
3,29,0.0,0.0,0.0008360980300290322,0.0008360980300290322,-0.0008358001708984375,0.011848831176757812,
3,30,0.03284287212121212,0.0594733303030303,0.002324035440916928,0.002324035440916928,0.014961433410644532,0.046746253967285156,
3,31,0.0,0.0,-0.0006888700901593468,-0.0006888700901593468,0.0006954193115234375,0.008800125122070313,
4,0,0.052017042998760844,0.0375587,-0.0005020033833838926,-0.0005020033833838926,0.0028005599975585937,0.015280723571777344,
4,1,0.0,0.0,-0.0034946784847337503,-0.0034946784847337503,-0.006962203979492187,0.028085708618164062,
4,2,0.0,0.009087728571428573,-0.003032718645147142,-0.003032718645147142,-0.006314849853515625,0.019220733642578126,
4,3,0.0,0.0,0.002865019128814842,0.002865019128814842,0.011610794067382812,0.020750045776367188,
4,4,0.00108785,0.01286007,0.005660861820830137,0.005660861820830137,-0.00021343231201171876,0.02111186981201172,
4,5,0.0,0.0,-0.0010605642270869733,-0.0010605642270869733,-0.00018444061279296876,0.007538032531738281,
4,6,0.0,0.0,-5.367935039665487e-05,-5.367935039665487e-05,-0.0009984970092773438,0.007206153869628906,
4,7,0.0,0.0,-0.00020887849072852497,-0.00020887849072852497,-0.002861213684082031,0.008366966247558593,
4,8,0.0,0.0,-0.003418715371491304,-0.003418715371491304,-0.004508781433105469,0.018890953063964842,
4,9,0.0,0.0,-0.00035378096391070174,-0.00035378096391070174,0.00027675628662109374,0.009314155578613282,
4,10,0.015725252597402598,0.043051034271284275,-0.041521187641479995,-0.041521187641479995,-0.03970346450805664,0.1481307029724121,
4,11,0.0,0.0,-0.0007413234973713505,-0.0007413234973713505,0.0003154754638671875,0.008553695678710938,
4,12,0.0,0.0,0.001514844714150191,0.001514844714150191,0.003277015686035156,0.008941841125488282,
4,13,0.102554,0.060453,-0.011167633884816609,-0.011167633884816609,-0.0128997802734375,0.03820648193359375,-0.013595883765917145
4,14,0.013251037654320988,0.00936272211111111,-0.02252877456805763,-0.02252877456805763,-0.025115299224853515,0.11279134750366211,
4,15,0.10827197260273971,0.018803998630136987,0.005275592039825834,0.005275592039825834,-0.004285049438476562,0.026290512084960936,0.006259709261776356
4,16,0.0,0.0,-0.002822791559103709,-0.002822791559103709,0.0002590179443359375,0.008584213256835938,
4,17,0.0,0.0,0.00022560964110228914,0.00022560964110228914,0.0001995086669921875,0.006812667846679688,
4,18,0.0,0.0,-0.0025659870733036085,-0.0025659870733036085,-0.0016435623168945313,0.012371635437011719,
4,19,0.0,0.0,-0.0027764612119487915,-0.0027764612119487915,-0.0028720855712890624,0.02493438720703125,
4,20,0.0,0.0,-0.001638081882886714,-0.001638081882886714,-0.0033277034759521484,0.019023656845092773,
4,21,0.0,0.0,-0.00013728781630745513,-0.00013728781630745513,0.0017578125,0.008855438232421875,
4,22,0.0,0.0,-1.860656932498632e-07,-1.860656932498632e-07,0.0019788742065429688,0.01000041961669922,
4,23,0.013510806666666667,0.02576186666666667,0.004468465813833257,0.004468465813833257,0.017282485961914062,0.02830924987792969,
4,24,0.0,0.0,0.00013337223666322448,0.00013337223666322448,-0.0017297744750976562,0.007820701599121094,
4,25,0.0,0.0,-0.0002527464859075112,-0.0002527464859075112,0.00035724639892578127,0.006450080871582031,
4,26,0.0,0.0,0.0014354898813416072,0.0014354898813416072,0.0018039703369140624,0.022484207153320314,
4,27,0.0,0.0,0.00194456067303813,0.00194456067303813,8.258819580078124e-05,0.009924507141113282,
4,28,0.049144692757151553,0.026418935849056604,-0.006170464904581228,-0.006170464904581228,-0.010579109191894531,0.06577320098876953,
4,29,0.00454559,0.0,0.004454232739242777,0.004454232739242777,0.002499961853027344,0.041417503356933595,
4,30,0.0,0.0,-0.0025595704608942184,-0.0025595704608942184,-0.010551643371582032,0.015846061706542968,
4,31,0.0,0.0,-0.0024234279571624284,-0.0024234279571624284,0.0023578643798828126,0.028036117553710938,
5,0,0.0,0.0,0.0008955337955770763,0.0008955337955770763,-0.003960037231445312,0.015027999877929688,
5,1,0.0,0.0,-0.0002450369641163878,-0.0002450369641163878,-0.008194923400878906,0.026108360290527342,
