head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L8H15,base,earlier,source,first,output,-0.00897116995442816,0.018336991021669233,-0.04197157970091112,0.022690441297448193,20,947,0.35
L8H15,base,earlier,source,last,raw,0.0001755815851313571,0.009189058476730504,-0.012967831846596537,0.018472985944886135,20,947,0.4
L8H15,base,earlier,source,last,output,0.002366890634043253,0.018156091688830717,-0.023248589557150142,0.0317329220149828,20,947,0.55
L8H15,base,final,source,first,raw,0.0006300290425618491,0.014435643417122546,-0.035986900329589844,0.025854746500651043,20,40,0.5
L8H15,base,final,source,first,output,-0.0030679424603780106,0.035184794559325765,-0.05071131388346354,0.06780242919921875,20,40,0.35
L8H15,base,final,source,last,raw,-0.004466692606608072,0.010484041570085941,-0.022818247477213543,0.011927286783854168,20,40,0.4
L8H15,base,final,source,last,output,0.0020583093166351312,0.024481333817792633,-0.02755272388458252,0.05348968505859375,20,40,0.5
L8H15,base,final,target,first,raw,0.00300139586130778,0.006168989137062803,-0.0069446563720703125,0.015520731608072916,20,40,0.65
L8H15,base,final,target,first,output,-0.0023467441399892177,0.026058056249599816,-0.05133597056070963,0.043973286946614586,20,40,0.4
L8H15,base,final,target,last,raw,-0.00042394002278645803,0.011324570194680222,-0.016249338785807293,0.0196685791015625,20,40,0.55
L8H15,base,final,target,last,output,0.0008559713761011764,0.0266571011407395,-0.04166062672932943,0.04935518900553386,20,40,0.5
L9H16,base,earlier,target,first,raw,0.0006776098107899077,0.004128909270942123,-0.007933400143151996,0.011236166744901422,20,1193,0.5
L9H16,base,earlier,target,first,output,-0.00717877663721324,0.015762126069296004,-0.046593568060133185,0.021776914596557614,20,1193,0.4
L9H16,base,earlier,target,last,raw,0.001911014714625257,0.006553053940112459,-0.013198822581519684,0.01104454367847766,20,1193,0.65
L9H16,base,earlier,target,last,output,0.0004745562247361095,0.019922674287109803,-0.03304555498320481,0.03724515368366799,20,1193,0.4
L9H16,base,earlier,source,first,raw,-0.0007682554285373036,0.004923344081875421,-0.012635474403699236,0.007369533181190491,20,947,0.5
L9H16,base,earlier,source,first,output,0.01280786690939753,0.03291095394907347,-0.05474541584650675,0.07599965731302898,20,947,0.6
L9H16,base,earlier,source,last,raw,-5.722550167397678e-05,0.007931337332350871,-0.011223132094592912,0.01911491569545534,20,947,0.5
