group,head,id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,kind
O3,L20H1,G1:O3:conditional:L20H1,noise,20,-0.3603227615356445,0.3603227615356445,-0.3472137451171875,-0.67474365234375,-0.036529541015625,1.0,0.9,True,coherent,-0.4436082077026367,-0.27949634552001956,0.6819553375244141,11.200063323974609,-0.03217149324185923,0.03217149324185923,G1,conditional
O3,L22H5,G1:O3:conditional:L22H5,noise,20,0.7505536556243897,0.7505536556243897,0.747314453125,0.47698211669921875,1.2005615234375,1.0,1.0,True,coherent,0.6666135883331299,0.8411169934272765,0.5248387336730957,11.200063323974609,0.06701334036368982,0.06701334036368982,G1,conditional
O3,L27H6,G1:O3:conditional:L27H6,noise,20,1.6368679523468017,1.6368679523468017,1.6878662109375,0.543426513671875,2.786834716796875,1.0,1.0,True,coherent,1.3097699177265167,1.9585478234291078,1.0570731163024902,11.200063323974609,0.14614809800610307,0.14614809800610307,G1,conditional
O4,L18H18,G1:O4:conditional:L18H18,noise,20,2.5590206146240235,2.5590206146240235,2.599609375,1.413818359375,3.86822509765625,1.0,1.0,True,coherent,2.246949300765991,2.8742378616333,3.1440879821777346,11.200063323974609,0.22848269162427326,0.22848269162427326,G1,conditional
O4,L18H19,G1:O4:conditional:L18H19,noise,20,2.875374603271484,2.875374603271484,2.885223388671875,1.5177001953125,4.1370086669921875,1.0,1.0,True,coherent,2.556794662475586,3.195611705780029,1.9639755249023438,11.200063323974609,0.2567284237685086,0.2567284237685086,G1,conditional
I1,L18H18,G1:I1:conditional:L18H18,noise,20,3.7063708305358887,3.7063708305358887,3.584808349609375,1.917205810546875,7.290771484375,1.0,1.0,True,coherent,3.197351882457733,4.275429558753967,4.128768348693848,11.200063323974609,0.3309240959916818,0.3309240959916818,G1,conditional
I1,L18H19,G1:I1:conditional:L18H19,noise,20,4.21425199508667,4.21425199508667,3.83380126953125,2.37994384765625,7.191198348999023,1.0,1.0,True,coherent,3.648559310436249,4.8504590177536,2.4339075088500977,11.200063323974609,0.3762703721563551,0.3762703721563551,G1,conditional
I1,L19H16,G1:I1:conditional:L19H16,noise,20,-0.2660183906555176,0.27484712600708006,-0.27039337158203125,-0.7534427642822266,0.088287353515625,0.95,0.85,True,coherent,-0.3459956407546997,-0.19273291349411023,0.38057193756103513,11.200063323974609,-0.023751507733539727,0.02453978321879202,G1,conditional
I1,L20H1,G1:I1:conditional:L20H1,noise,20,-0.49356660842895506,0.4976315498352051,-0.56072998046875,-0.9879856109619141,0.0406494140625,0.95,0.95,True,coherent,-0.6113025021553039,-0.37530835390090955,1.472869300842285,11.200063323974609,-0.04406819802281271,0.04443113716776814,G1,conditional
I1,L23H15,G1:I1:conditional:L23H15,noise,20,-0.359145450592041,0.368300724029541,-0.364013671875,-0.6163330078125,0.091552734375,0.95,0.95,True,coherent,-0.42758970260620116,-0.2850246644020083,0.531566047668457,11.200063323974609,-0.03206637678764388,0.03288380729430025,G1,conditional
