group,mode,direction,population,pairs,mean_margin,clean_candidate_preferred,recipient_accuracy,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
O3,mean,noise,core20,40,2.656396770477295,1.0,1.0,20,3.152212047576904,3.152212047576904,3.2210464477539062,1.2476806640625,5.292106628417969,1.0,1.0,True,coherent,2.685785403251648,3.6184677982330316,2.685785403251648,3.6184677982330316
O3,mean,noise,additional69,138,2.5934732962345732,0.9710144927536232,0.9710144927536232,69,3.048714921094369,3.0768911596657573,3.1002273559570312,-0.827239990234375,8.134429931640625,0.9710144927536232,1.0,True,coherent,2.7233725285184556,3.376125233242477,2.76838401141374,3.3935466396635854
O3,mean,noise,all89,178,2.6076134028059714,0.9775280898876404,0.9775280898876404,89,3.0719727023263994,3.0938172018929815,3.16400146484375,-0.827239990234375,8.134429931640625,0.9775280898876404,1.0,True,coherent,2.8023515007469095,3.3460835488994465,2.8366301437442223,3.360243101736133
O3,mean,restore,core20,40,-2.407092475891113,0.025,0.975,20,2.984362030029297,2.984362030029297,2.939697265625,1.208221435546875,4.66912841796875,1.0,1.0,True,coherent,2.550709342956543,3.4210854005813585,2.550709342956543,3.4210854005813585
O3,mean,restore,additional69,138,-2.59836987481601,0.057971014492753624,0.9420289855072463,69,2.9213191875513047,2.9255951867587324,2.859832763671875,-0.14752197265625,5.9621124267578125,0.9855072463768116,1.0,True,coherent,2.642641099294027,3.201053333973539,2.65022456265878,3.203479804854462
O3,mean,restore,all89,178,-2.5553861896643477,0.05056179775280899,0.949438202247191,89,2.935486118445236,2.938801218954365,2.92718505859375,-0.14752197265625,5.9621124267578125,0.9887640449438202,1.0,True,coherent,2.6969827732343354,3.175119620226742,2.7026202083973403,3.176604823316081
O4,donor,noise,core20,40,0.16522979736328125,0.55,0.55,20,5.643379020690918,5.643379020690918,5.778144836425781,3.35931396484375,8.119377136230469,1.0,1.0,True,coherent,5.051795473098755,6.238350305557249,5.051795473098755,6.238350305557249
O4,donor,noise,additional69,138,0.016656239827473957,0.4492753623188406,0.4492753623188406,69,5.625531977501469,5.625531977501469,5.41278076171875,0.413330078125,9.85308837890625,1.0,1.0,True,coherent,5.20166281738143,6.045255706275718,5.20166281738143,6.045255706275718
O4,donor,noise,all89,178,0.050043556127655375,0.47191011235955055,0.47191011235955055,89,5.629542549004715,5.629542549004715,5.5997314453125,0.413330078125,9.85308837890625,1.0,1.0,True,coherent,5.278754869203889,5.977417690432473,5.278754869203889,5.977417690432473
O4,donor,restore,core20,40,0.4435459613800049,0.575,0.425,20,5.835000467300415,5.835000467300415,5.840568542480469,3.6021728515625,7.9404296875,1.0,1.0,True,coherent,5.266060081720352,6.390522882938384,5.266060081720352,6.390522882938384
O4,donor,restore,additional69,138,0.1047584423120471,0.5362318840579711,0.463768115942029,69,5.624447504679362,5.624447504679362,5.7225341796875,0.59619140625,9.65521240234375,1.0,1.0,True,coherent,5.201246712173241,6.045459484708481,5.201246712173241,6.045459484708481
O4,donor,restore,all89,178,0.18089046906889156,0.5449438202247191,0.4550561797752809,89,5.671762777178475,5.671762777178475,5.740234375,0.59619140625,9.65521240234375,1.0,1.0,True,coherent,5.318567869636451,6.022349374749687,5.318567869636451,6.022349374749687
O4,mean,noise,core20,40,2.6222023010253905,0.95,0.95,20,3.1864065170288085,3.1864065170288085,3.337635040283203,0.58953857421875,4.766441345214844,1.0,1.0,True,coherent,2.6541163873672486,3.674102931022644,2.6541163873672486,3.674102931022644
