id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,background,source,site
block:L13H10:query_sentence:source,restore,20,-0.3303884983062744,0.4088430881500244,-0.237030029296875,-1.64715576171875,0.488739013671875,0.8,0.7,True,coherent,-0.5458069956302642,-0.1384152221679689,0.4046917915344238,11.200063323974609,-0.029498806278983446,0.03650364076735744,blocking,,source,,,426,query_sentence
block:L15H25:query_child_last,noise,20,0.42649054527282715,0.42649054527282715,0.3263053894042969,0.175262451171875,0.89276123046875,1.0,1.0,True,coherent,0.3302092832326889,0.5306173127889632,0.23922386169433593,11.200063323974609,0.038079297673245374,0.038079297673245374,blocking,,blocking,,,505,query_child_last
block:L15H25:query_child_last,restore,20,0.4421687602996826,0.4452968120574951,0.412109375,-0.0233154296875,1.1904144287109375,0.9,0.9,True,coherent,0.31782110333442687,0.5785200870037078,0.28307256698608396,11.200063323974609,0.03947913038609218,0.03975841914253311,blocking,,blocking,,,505,query_child_last
block:L15H25:query_child_last:self,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L15H25:query_child_last:self,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L15H25:query_child_last:source,noise,20,0.42902963161468505,0.42902963161468505,0.3134269714355469,0.1756591796875,0.881072998046875,1.0,1.0,True,coherent,0.3349395608901978,0.5319182497262954,0.2404003620147705,11.200063323974609,0.038306000529150015,0.038306000529150015,blocking,,source,,,505,query_child_last
block:L15H25:query_child_last:source,restore,20,0.45728087425231934,0.45792784690856936,0.418914794921875,-0.0064697265625,1.3634796142578125,0.95,0.9,True,coherent,0.3288080143928528,0.6047356808185577,0.3040163993835449,11.200063323974609,0.04082841864594408,0.04088618373508113,blocking,,source,,,505,query_child_last
block:L15H25:query_sentence,noise,20,0.4541900157928467,0.4541900157928467,0.38468170166015625,0.196868896484375,0.87493896484375,1.0,1.0,True,coherent,0.3601100170612335,0.5568770873546597,0.2281102180480957,11.200063323974609,0.040552450700936445,0.040552450700936445,blocking,,blocking,,,505,query_sentence
block:L15H25:query_sentence,restore,20,0.4415687322616577,0.461663031578064,0.446929931640625,-0.1031494140625,1.0828628540039062,0.9,0.95,True,coherent,0.31215778946876527,0.5748369503021239,0.30080561637878417,11.200063323974609,0.039425556757027025,0.041219680480719986,blocking,,blocking,,,505,query_sentence
block:L15H25:query_sentence:self,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L15H25:query_sentence:self,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L15H25:query_sentence:source,noise,20,0.4726902484893799,0.4726902484893799,0.4097480773925781,0.19037628173828125,0.9779052734375,1.0,1.0,True,coherent,0.3749401843547821,0.580252240896225,0.233748722076416,11.200063323974609,0.042204247852558975,0.042204247852558975,blocking,,source,,,505,query_sentence
block:L15H25:query_sentence:source,restore,20,0.45131165981292726,0.476316237449646,0.39803385734558105,-0.1803436279296875,1.4231948852539062,0.9,0.95,True,coherent,0.2998262828588486,0.6162922954559327,0.30095858573913575,11.200063323974609,0.040295456084329405,0.04252799503642573,blocking,,source,,,505,query_sentence
block:L17H1:query_sentence,noise,20,5.480055856704712,5.480055856704712,5.4942779541015625,2.6300048828125,7.28863525390625,1.0,1.0,True,coherent,4.896843726634979,6.020011135339736,3.3972058296203613,11.200063323974609,0.4892879350935655,0.4892879350935655,blocking,,blocking,,,545,query_sentence
block:L17H1:query_sentence,restore,20,5.377878093719483,5.377878093719483,5.3475341796875,3.20501708984375,7.492353439331055,1.0,1.0,True,coherent,4.8047930526733404,5.955840027332304,3.5655344009399412,11.200063323974609,0.4801649721218732,0.4801649721218732,blocking,,blocking,,,545,query_sentence
block:L17H1:query_sentence:self,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L17H1:query_sentence:self,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
