layer,head,variant,evals,qk_passes,freq,n_a,strength_first,strength_last,null_tok10,null_random
2,10,corrupted,513588,0,0,0,0,0,0,0
2,10,reorder,513581,0,0,0,0,0,0,0
2,11,base,513588,0,0,0,0,0,0,0
2,11,corrupted,513588,0,0,0,0,0,0,0
2,11,reorder,513581,0,0,0,0,0,0,0
2,12,base,513588,0,0,0,0,0,0,0
2,12,corrupted,513588,0,0,0,0,0,0,0
2,12,reorder,513581,0,0,0,0,0,0,0
2,13,base,513588,0,0,0,0,0,0,0
2,13,corrupted,513588,0,0,0,0,0,0,0
2,13,reorder,513581,0,0,0,0,0,0,0
2,14,base,513588,0,0,0,0,0,0,0
2,14,corrupted,513588,0,0,0,0,0,0,0
2,14,reorder,513581,0,0,0,0,0,0,0
2,15,base,513588,0,0,0,0,0,0,0
2,15,corrupted,513588,0,0,0,0,0,0,0
2,15,reorder,513581,0,0,0,0,0,0,0
2,16,base,513588,6,1.16825e-05,6,0.004236,0.0553059,0.0131947,0.0164697
2,16,corrupted,513588,6,1.16825e-05,6,4.71664e-05,0.0356455,0.0133227,0.0246714
2,16,reorder,513581,6,1.16827e-05,6,0.00425096,0.0551343,0.0131094,0.0288051
2,17,base,513588,0,0,0,0,0,0,0
2,17,corrupted,513588,0,0,0,0,0,0,0
2,17,reorder,513581,0,0,0,0,0,0,0
2,18,base,513588,48,9.34601e-05,48,0,0.0147305,0.0140225,0.0214011
2,18,corrupted,513588,48,9.34601e-05,48,0,0.0136773,0.0140004,0.0234584
2,18,reorder,513581,48,9.34614e-05,48,0,0.014792,0.014097,0.0230522
2,19,base,513588,0,0,0,0,0,0,0
2,19,corrupted,513588,0,0,0,0,0,0,0
2,19,reorder,513581,0,0,0,0,0,0,0
2,20,base,513588,6,1.16825e-05,6,0.00405338,0.00513132,0.00361434,0.0261856
2,20,corrupted,513588,6,1.16825e-05,6,0.00405338,0.00513132,0.00361434,0.0309396
2,20,reorder,513581,7,1.36298e-05,7,0.00347433,0.00681045,0.00720625,0.0180951
2,21,base,513588,118,0.000229756,118,0.00337299,0.0042778,0.0269633,0.0233367
2,21,corrupted,513588,127,0.00024728,127,0.0036264,0.00389199,0.0254086,0.0237409
2,21,reorder,513581,124,0.000241442,124,0.00422173,0.00646257,0.0264278,0.0190108
2,22,base,513588,18,3.50475e-05,18,0.0209422,0.0202993,0.0268978,0.00733245
2,22,corrupted,513588,22,4.28359e-05,22,0.0162156,0.0145999,0.0216371,0.0201991
2,22,reorder,513581,22,4.28365e-05,22,0.0103239,0.00387593,0.0240608,0.00696016
2,23,base,513588,95,0.000184973,95,0.00484937,0.0396226,0.0254071,0.0430625
