head,phase,direction,mode,prior_P,prior_F,conditional_mean,conditional_ma,conditional_class,conditional_retained,ci_low,ci_high,change_mean,change_ma,change_retained
L15H3,extension,noise,donor,-0.10603228311860159,-0.04886506112773767,-0.10403674238183525,0.11476349160912332,coherent,True,-0.1279965996407391,-0.08205636870325282,0.0019955407367663438,0.013333482688732362,False
L15H3,extension,restore,donor,-0.10603228311860159,-0.04886506112773767,-0.08622377374198999,0.0970475807618559,below_rule,False,-0.10337790907099005,-0.069201330790359,0.0038401142934734902,0.014615648248222438,False
L15H3,sensitivity,noise,mean,-0.10603228311860159,-0.04886506112773767,-0.1539640212326907,0.17487199118967806,coherent,True,-0.1833553971869222,-0.12449943965740418,-0.0016916789365618416,0.012519193499275808,False
L15H3,sensitivity,restore,mean,-0.10603228311860159,-0.04886506112773767,-0.14795426304420728,0.16030747435066137,coherent,True,-0.17625471601325476,-0.1204663632960802,-0.0018811788451805543,0.013177954748775183,False
L16H1,conditional,noise,donor,0.8679152553001147,0.8566900478320175,0.8007095336914063,0.8007095336914063,coherent,True,0.6436928367614747,0.9631286811828613,-0.076519775390625,0.08525543212890625,False
L16H1,extension,noise,donor,0.8679152553001147,0.8566900478320175,0.797624476839987,0.8028481020016617,coherent,True,0.7013447331578544,0.8961978485075276,-0.07029077846012759,0.09515159183673644,False
L16H1,extension,restore,donor,0.8679152553001147,0.8566900478320175,0.7688864804385753,0.7768968303551834,coherent,True,0.6673661521311556,0.8727438658810732,-0.07314490736200568,0.09750155652506967,False
L16H1,sensitivity,noise,mean,0.8679152553001147,0.8566900478320175,1.6883102936691112,1.6991004863481842,coherent,True,1.5434979643714561,1.8350078105926513,-0.09860821252458551,0.11513120940562045,True
L16H1,sensitivity,restore,mean,0.8679152553001147,0.8566900478320175,1.6644837722349703,1.6657661963044927,coherent,True,1.5343728550364462,1.7953446607241468,-0.11475074960944358,0.12989235995860582,True
L16H4,conditional,noise,donor,0.02572816141535727,0.020945575799834863,0.015048027038574219,0.03023052215576172,below_rule,False,0.0019007158279418948,0.02805306434631343,-0.0008905410766601562,0.002971458435058594,False
L16H16,conditional,noise,donor,0.0211655745345555,0.01562916294912274,0.016901090741157532,0.020096281170845033,below_rule,False,0.009406223297119142,0.024299671128392215,-0.0022849291563034058,0.004235002398490906,False
L16H21,conditional,noise,donor,0.9245236214627041,0.892819924300976,0.8614547729492188,0.8614547729492188,coherent,True,0.6440582084655762,1.086907806396484,-0.04169597625732422,0.06509113311767578,False
L16H21,extension,noise,donor,0.9245236214627041,0.892819924300976,0.8926693442162503,0.8990938087527671,coherent,True,0.7773676984430699,1.012493367442924,-0.03185427724645379,0.09198745047108511,False
L16H21,extension,restore,donor,0.9245236214627041,0.892819924300976,0.9992877686961313,1.000586651684193,coherent,True,0.8630055227976167,1.1493103222230847,-0.0660185840692413,0.1302621846788385,True
L16H21,sensitivity,noise,mean,0.9245236214627041,0.892819924300976,0.999264443858286,1.0219126015566709,coherent,True,0.8482769332574994,1.1557162835356896,-0.008892005748963087,0.055733369977286694,False
L16H21,sensitivity,restore,mean,0.9245236214627041,0.892819924300976,1.0732147630011097,1.0832824777351338,coherent,True,0.9185181997465284,1.2366615030872687,-0.019275607352846124,0.05574163593602984,False
L16H24,conditional,noise,donor,-0.0456918277097552,-0.04198221142372389,-0.060651206970214845,0.07893733978271485,below_rule,False,-0.09956677913665771,-0.02376516342163086,0.011239147186279297,0.014372539520263673,False
L16H31,conditional,noise,donor,-0.18757959965909465,-0.1729035966851738,-0.16552391052246093,0.16552391052246093,coherent,True,-0.20666190147399902,-0.12597043037414551,0.010909175872802735,0.017055416107177736,False
L16H31,extension,noise,donor,-0.18757959965909465,-0.1729035966851738,-0.17328275321574693,0.1743679086813766,coherent,True,-0.19715412470062127,-0.15061901784345005,0.014296846443347716,0.02392692914169826,False
L16H31,extension,restore,donor,-0.18757959965909465,-0.1729035966851738,-0.16655344909496522,0.16802926545732477,coherent,True,-0.19050915683253428,-0.14407293300950125,0.01771686853987447,0.02434259050347832,False
L16H31,sensitivity,noise,mean,-0.18757959965909465,-0.1729035966851738,-0.2607327043340447,0.2668847394793221,coherent,True,-0.29277368274967325,-0.22907572730203693,0.014008902431873794,0.01985053266032358,False
L16H31,sensitivity,restore,mean,-0.18757959965909465,-0.1729035966851738,-0.24854155068986872,0.2592801378014382,coherent,True,-0.284115289503269,-0.21316395428743257,0.015415685900141684,0.021129154087452407,False
L17H5,conditional,noise,donor,-0.013264061359876997,-0.058706074618221665,-0.004983139038085937,0.036758041381835936,below_rule,False,-0.025247793197631836,0.01564688682556151,0.0025647163391113283,0.010295963287353516,False
L17H24,conditional,noise,donor,0.43262004316522834,0.42919445573613885,0.4817054748535156,0.4817054748535156,coherent,True,0.3903665542602539,0.5884400177001952,-0.014768314361572266,0.04067869186401367,False
L17H24,extension,noise,donor,0.43262004316522834,0.42919445573613885,0.4125053279855278,0.41287839680575256,coherent,True,0.37129222111085824,0.45597771754425553,-0.02011471517970053,0.04410512125893925,False
L17H24,extension,restore,donor,0.43262004316522834,0.42919445573613885,0.4131420435530416,0.4131420435530416,coherent,True,0.37349888595302455,0.4542573107762283,-0.022868124286780197,0.048706193988242844,False
L17H24,sensitivity,noise,mean,0.43262004316522834,0.42919445573613885,0.3243382914682453,0.3243382914682453,coherent,True,0.29367071524094995,0.3560270621535483,0.007965800467501866,0.01976939533533675,False
L17H24,sensitivity,restore,mean,0.43262004316522834,0.42919445573613885,0.3051506883642647,0.3051506883642647,coherent,True,0.278597476777066,0.33160720139407035,-0.0005449096808272801,0.016595098409759864,False
L18H19,conditional,noise,donor,3.0721382344706676,3.0789664997143693,3.0297107696533203,3.0297107696533203,coherent,True,2.6414377880096436,3.433770990371704,-0.05066947937011719,0.21046524047851561,True
L18H19,extension,noise,donor,3.0721382344706676,3.0789664997143693,3.0063918587866794,3.0063918587866794,coherent,True,2.8107180263219256,3.204266331436928,-0.06574637568398808,0.2495888096562932,True
L18H19,extension,restore,donor,3.0721382344706676,3.0789664997143693,3.12895338187057,3.12895338187057,coherent,True,2.916757431726777,3.3384720354937434,-0.08985028106175112,0.254450310482068,True
L18H19,sensitivity,noise,mean,3.0721382344706676,3.0789664997143693,1.6889638686448,1.6889638686448,coherent,True,1.5418011787232389,1.8377897730034385,0.06259873208035244,0.09012978800227132,False
L18H19,sensitivity,restore,mean,3.0721382344706676,3.0789664997143693,1.6293470055869457,1.6293470055869457,coherent,True,1.5017740763974994,1.7558124774627468,0.056758181432659705,0.08953915017374446,False
L19H16,conditional,noise,donor,-0.8197843251603373,-0.8292487685600024,-0.8927835464477539,0.8927835464477539,coherent,True,-1.0637073135375976,-0.7260874509811405,-0.041902804374694826,0.05686862468719482,False
L19H16,extension,noise,donor,-0.8197843251603373,-0.8292487685600024,-0.8737313332182638,0.8744500393278143,coherent,True,-0.9758732508407549,-0.7756262445048001,-0.05394700805792648,0.09038136648328117,False
L19H16,extension,restore,donor,-0.8197843251603373,-0.8292487685600024,-0.8926031294833409,0.8926031294833409,coherent,True,-0.9855354610453831,-0.804091958517439,-0.07133444775356336,0.11622966273447101,True
