family,mode,direction,background,effect
104,mean,noise,weakened,-0.1153411865234375
108,mean,noise,weakened,0.234466552734375
110,mean,noise,weakened,-1.21533203125
112,mean,noise,weakened,0.454132080078125
114,mean,noise,weakened,-0.6275634765625
116,mean,noise,weakened,-0.38652801513671875
118,mean,noise,weakened,-0.99267578125
120,mean,noise,weakened,-0.00554656982421875
122,mean,noise,weakened,-1.11474609375
124,mean,noise,weakened,-1.1990966796875
126,mean,noise,weakened,-0.3214111328125
128,mean,noise,weakened,0.430450439453125
130,mean,noise,weakened,-1.35601806640625
132,mean,noise,weakened,-0.4244384765625
134,mean,noise,weakened,0.2508087158203125
136,mean,noise,weakened,1.2423095703125
138,mean,noise,weakened,-0.9362258911132812
140,mean,noise,weakened,-0.3399505615234375
142,mean,noise,weakened,-1.36865234375
148,mean,noise,weakened,-1.2813720703125
150,mean,noise,weakened,-0.18548583984375
152,mean,noise,weakened,-1.7086181640625
154,mean,noise,weakened,0.17236328125
156,mean,noise,weakened,-1.60064697265625
158,mean,noise,weakened,-1.1160888671875
160,mean,noise,weakened,-0.805572509765625
162,mean,noise,weakened,-0.8486328125
166,mean,noise,weakened,-0.344696044921875
168,mean,noise,weakened,-1.882080078125
170,mean,noise,weakened,0.486663818359375
172,mean,noise,weakened,-0.68572998046875
174,mean,noise,weakened,-0.897216796875
176,mean,noise,weakened,-1.71630859375
178,mean,noise,weakened,-0.999755859375
180,mean,noise,weakened,-0.57666015625
182,mean,noise,weakened,4.733154296875
186,mean,noise,weakened,-0.80322265625
188,mean,noise,weakened,1.80322265625
192,mean,noise,weakened,-0.334136962890625
194,mean,noise,weakened,-0.6090774536132812
196,mean,noise,weakened,-0.77001953125
198,mean,noise,weakened,0.3668060302734375
0,mean,restore,intact,-0.18536376953125
2,mean,restore,intact,0.020244598388671875
4,mean,restore,intact,0.39180755615234375
6,mean,restore,intact,-1.217041015625
8,mean,restore,intact,2.32977294921875
12,mean,restore,intact,-0.555633544921875
14,mean,restore,intact,-0.13720703125
16,mean,restore,intact,0.09161376953125
20,mean,restore,intact,-0.13189697265625
24,mean,restore,intact,-0.828826904296875
26,mean,restore,intact,-1.244140625
28,mean,restore,intact,0.60693359375
30,mean,restore,intact,0.553466796875
32,mean,restore,intact,-1.3599853515625
34,mean,restore,intact,0.83935546875
36,mean,restore,intact,-1.291656494140625
38,mean,restore,intact,-0.7521133422851562
40,mean,restore,intact,-0.8708953857421875
44,mean,restore,intact,-0.8431243896484375
46,mean,restore,intact,0.0199737548828125
48,mean,restore,intact,-1.1990966796875
50,mean,restore,intact,-1.8076171875
52,mean,restore,intact,-0.2239837646484375
54,mean,restore,intact,-0.3509521484375
56,mean,restore,intact,-0.742431640625
58,mean,restore,intact,-1.29400634765625
60,mean,restore,intact,0.3757896423339844
62,mean,restore,intact,0.2696990966796875
64,mean,restore,intact,0.272369384765625
66,mean,restore,intact,-1.0315608978271484
68,mean,restore,intact,-0.278564453125
70,mean,restore,intact,-0.669219970703125
72,mean,restore,intact,-0.575927734375
76,mean,restore,intact,0.601593017578125
78,mean,restore,intact,0.333251953125
80,mean,restore,intact,-0.985809326171875
82,mean,restore,intact,-0.2406005859375
84,mean,restore,intact,-1.266845703125
86,mean,restore,intact,-2.098846435546875
88,mean,restore,intact,-1.3047027587890625
90,mean,restore,intact,-2.4225692749023438
92,mean,restore,intact,-2.358917236328125
94,mean,restore,intact,0.046661376953125
96,mean,restore,intact,0.6356201171875
98,mean,restore,intact,-0.2743988037109375
100,mean,restore,intact,-1.1719970703125
102,mean,restore,intact,-0.43524169921875
104,mean,restore,intact,-0.435394287109375
108,mean,restore,intact,-2.217426300048828
110,mean,restore,intact,-0.12591552734375
112,mean,restore,intact,-1.065673828125
114,mean,restore,intact,-1.71185302734375
116,mean,restore,intact,-0.5313720703125
118,mean,restore,intact,-0.996337890625
120,mean,restore,intact,-1.698486328125
122,mean,restore,intact,-1.353057861328125
124,mean,restore,intact,-0.8057403564453125
126,mean,restore,intact,-0.27294921875
128,mean,restore,intact,-0.2740478515625
130,mean,restore,intact,-1.01483154296875
132,mean,restore,intact,-1.43963623046875
134,mean,restore,intact,-0.630157470703125
136,mean,restore,intact,-0.21612548828125
138,mean,restore,intact,-1.9207611083984375
140,mean,restore,intact,-0.7454833984375
142,mean,restore,intact,-1.9644927978515625
148,mean,restore,intact,-0.7178726196289062
150,mean,restore,intact,0.7478790283203125
152,mean,restore,intact,-1.0853271484375
154,mean,restore,intact,-1.0042572021484375
156,mean,restore,intact,-0.729248046875
158,mean,restore,intact,-1.71337890625
160,mean,restore,intact,-0.30756378173828125
162,mean,restore,intact,-0.0284423828125
166,mean,restore,intact,-0.232269287109375
168,mean,restore,intact,-1.2994384765625
170,mean,restore,intact,0.3988037109375
172,mean,restore,intact,-1.21759033203125
174,mean,restore,intact,-0.8248748779296875
176,mean,restore,intact,-1.2831382751464844
178,mean,restore,intact,0.72222900390625
180,mean,restore,intact,-0.8311614990234375
182,mean,restore,intact,-3.35302734375
186,mean,restore,intact,-0.97613525390625
188,mean,restore,intact,-0.2149658203125
192,mean,restore,intact,-0.01678466796875
194,mean,restore,intact,-0.2542724609375
196,mean,restore,intact,-0.4892578125
198,mean,restore,intact,-1.933349609375
0,mean,restore,weakened,-0.1739501953125
2,mean,restore,weakened,0.06294441223144531
4,mean,restore,weakened,0.335662841796875
6,mean,restore,weakened,-1.1641845703125
8,mean,restore,weakened,2.017730712890625
12,mean,restore,weakened,-0.699493408203125
14,mean,restore,weakened,-0.01192474365234375
16,mean,restore,weakened,0.18310546875
20,mean,restore,weakened,-0.179840087890625
24,mean,restore,weakened,-1.060272216796875
26,mean,restore,weakened,-1.2493743896484375
28,mean,restore,weakened,0.72711181640625
30,mean,restore,weakened,0.656982421875
32,mean,restore,weakened,-1.468505859375
34,mean,restore,weakened,0.93701171875
36,mean,restore,weakened,-1.29644775390625
38,mean,restore,weakened,-0.65692138671875
40,mean,restore,weakened,-0.901580810546875
44,mean,restore,weakened,-0.89910888671875
46,mean,restore,weakened,0.03417634963989258
48,mean,restore,weakened,-1.194244384765625
50,mean,restore,weakened,-2.09515380859375
52,mean,restore,weakened,-0.14949798583984375
54,mean,restore,weakened,-0.39013671875
56,mean,restore,weakened,-0.774627685546875
58,mean,restore,weakened,-1.23785400390625
