source,site,population,mode,direction,source_mean,blocked_residual_mean,ratio,ratio_ci_low,ratio_ci_high,bootstrap_denominator_min_abs,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
L17H1,query_sentence,all89,donor,noise,6.276379397745883,0.7412352347641848,0.8819008240594259,0.8647426566083675,0.8960984573717066,5.476191852869612,89,5.535144162981697,5.535144162981697,5.32861328125,0.5670833587646484,9.60595703125,1.0,1.0,True,coherent,5.194135983874289,5.883109356848041,5.194135983874289,5.883109356848041
L17H1,query_sentence,core20,donor,restore,6.025264549255371,0.6473864555358887,0.8925546836585134,0.8722733809334768,0.9097244832591138,4.9372711181640625,20,5.377878093719483,5.377878093719483,5.3475341796875,3.20501708984375,7.492353439331055,1.0,1.0,True,coherent,4.8047930526733404,5.955840027332304,4.8047930526733404,5.955840027332304
L17H1,query_sentence,additional69,donor,restore,5.956588558528734,0.6139669349228126,0.896926415365096,0.8787157620981668,0.9109059765103783,5.137110917464547,69,5.342621623605922,5.342621623605922,5.4971923828125,0.32733917236328125,9.131866455078125,1.0,1.0,True,coherent,4.947899424856987,5.73202619328015,4.947899424856987,5.73202619328015
L17H1,query_sentence,all89,donor,restore,5.972021365433596,0.6214769395549645,0.8959352451161497,0.881115358602035,0.9075937513972971,5.340935787458099,89,5.350544425878632,5.350544425878632,5.4971923828125,0.32733917236328125,9.131866455078125,1.0,1.0,True,coherent,5.021266155296497,5.673158124055754,5.021266155296497,5.673158124055754
L17H1,query_sentence,core20,mean,noise,1.9951902389526368,0.31257286071777346,0.8433368133948687,0.7945925223589808,0.8840655809839375,1.3588691711425782,20,1.6826173782348632,1.6826173782348632,1.8787078857421875,0.027042388916015625,2.710693359375,1.0,0.95,True,coherent,1.3726521921157837,1.9695979738235472,1.3726521921157837,1.9695979738235472
L17H1,query_sentence,additional69,mean,noise,2.2162662105283877,0.35054922103881836,0.8418289195704324,0.8028080041934818,0.8727041084358705,1.6084081953850344,69,1.865716989489569,1.8762256511743518,1.59320068359375,-0.362548828125,5.37060546875,0.9855072463768116,0.9855072463768116,True,coherent,1.595311985154083,2.165123218729876,1.6092007954915366,2.1734629859095027
L17H1,query_sentence,all89,mean,noise,2.166586216915859,0.3420152074835274,0.8421409659060849,0.8105066223984346,0.8684887783889835,1.6721412358659038,89,1.824571009432332,1.8327181741092982,1.66229248046875,-0.362548828125,5.37060546875,0.9887640449438202,0.9775280898876404,True,coherent,1.6013052484962378,2.062131805634231,1.6129404689488787,2.0700832409805123
L17H1,query_sentence,core20,mean,restore,2.1004749298095704,0.2690869331359863,0.8718923376246238,0.8385403566298529,0.9014454273920598,1.4380409240722656,20,1.831387996673584,1.831387996673584,1.59881591796875,1.0015869140625,4.747802734375,1.0,1.0,True,coherent,1.4935506296157837,2.248222584724426,1.4935506296157837,2.248222584724426
L17H1,query_sentence,additional69,mean,restore,1.9870902766352114,0.2595869147259256,0.8693633008131415,0.8470934335466683,0.8895720084934962,1.535294491311778,69,1.7275033619092859,1.7275033619092859,1.505615234375,0.220458984375,3.95770263671875,1.0,1.0,True,coherent,1.5402549987253935,1.925700254716735,1.5402549987253935,1.925700254716735
L17H1,query_sentence,all89,mean,restore,2.012569973977764,0.26172175032369205,0.8699564468775168,0.8513384822526631,0.8868250353148406,1.6737875670529483,89,1.750848223654072,1.750848223654072,1.5700607299804688,0.220458984375,4.747802734375,1.0,1.0,True,coherent,1.5846587039111706,1.9274389099538995,1.5846587039111706,1.9274389099538995
