head,variant,site,metric,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L19H20,corrupted,final,relevant_target_mass,0.006813327403506264,0.0022173205036391122,0.004145927960053086,0.013261921238154173,20,40,1.0
L19H20,corrupted,final,relevant_target_first,0.003328949454589747,0.001410142649752339,0.0016097098705358803,0.007367145270109177,20,40,1.0
L19H20,corrupted,final,relevant_target_last,0.001011155614105519,0.0007391740420635857,0.00033669899858068675,0.003552981303073466,20,40,1.0
L20H7,corrupted,earlier,self,0.004655973679489633,0.0008665404779755245,0.003493498387951887,0.0063939924243555345,20,2096,1.0
L20H7,corrupted,earlier,previous,0.0033859352805265227,0.0008560337952969477,0.002390402485479223,0.005720195765327003,20,2096,1.0
L20H7,corrupted,earlier,distractor_target_mass,0.05315183842493802,0.006138362676791317,0.042435160552823044,0.06468596120727145,20,4413,1.0
L20H7,corrupted,earlier,distractor_target_first,0.013462958306935885,0.003822254535268623,0.00775927487401835,0.021427369190834808,20,4413,1.0
L20H7,corrupted,earlier,distractor_target_last,0.021564195797122376,0.0052216231060234946,0.013609926557356622,0.03481245282562245,20,4413,1.0
L20H7,corrupted,earlier,distractor_source_mass,0.02029119036462649,0.003188654047129854,0.01569298526100171,0.02700246251235414,20,3633,1.0
L20H7,corrupted,earlier,distractor_source_first,0.008107254792399685,0.0017189407076501268,0.005131890611914719,0.011202121134884793,20,3633,1.0
L20H7,corrupted,earlier,distractor_source_last,0.009605475205126002,0.0015927494460292397,0.006685693736745222,0.012622029637358619,20,3633,1.0
L20H7,corrupted,earlier,relevant_target_mass,0.036570499505484536,0.009701350262489476,0.02191402383865907,0.05482356285414936,20,1193,1.0
L20H7,corrupted,earlier,relevant_target_first,0.011414459952658823,0.0036228410057416102,0.00672919317682196,0.019440258818212895,20,1193,1.0
L20H7,corrupted,earlier,relevant_target_last,0.010943891089902567,0.002649925558098933,0.006215924170586125,0.01739584155464463,20,1193,1.0
L20H7,corrupted,earlier,relevant_source_mass,0.020118924930418308,0.00597725896026983,0.011746542230105902,0.03269487948030777,20,947,1.0
L20H7,corrupted,earlier,relevant_source_first,0.008068981495108025,0.0023244450783165907,0.003872469592110696,0.013256499331041692,20,947,1.0
L20H7,corrupted,earlier,relevant_source_last,0.011141102572875624,0.003364630407443088,0.0067515385105608675,0.017450011758986268,20,947,1.0
L20H7,corrupted,final,self,0.000610596170736244,0.0003654387424932224,0.00015743120457045734,0.0015559669554932043,20,40,1.0
L20H7,corrupted,final,previous,8.414201996629345e-05,4.2468553390679696e-05,2.661401094883331e-05,0.00018518491742725018,20,40,1.0
L20H7,corrupted,final,distractor_source_mass,0.008526854075716985,0.010075206085460963,0.0008324459728707249,0.04131522848426054,20,120,1.0
L20H7,corrupted,final,distractor_source_first,0.0034757827316298064,0.003921913172696621,0.0003438258924385688,0.014384164630124966,20,120,1.0
L20H7,corrupted,final,distractor_source_last,0.003815806908824016,0.006160696947541414,0.00027125146637748304,0.027969432031871595,20,120,1.0
L20H7,corrupted,final,distractor_target_mass,0.030945611457961302,0.02186906531658211,0.004426766642912601,0.09089426804954807,20,120,1.0
L20H7,corrupted,final,distractor_target_first,0.007825710352941922,0.0082335733789184,0.0008895954488252755,0.030110627917262416,20,120,1.0
L20H7,corrupted,final,distractor_target_last,0.012031499766453634,0.007803936587237416,0.0018702279824841146,0.03254880104213953,20,120,1.0
L20H7,corrupted,final,relevant_source_mass,0.007128063628624659,0.007501184194500177,0.0005456482467707247,0.03310237918049097,20,40,1.0
L20H7,corrupted,final,relevant_source_first,0.0041738405065189,0.0056092030914613724,0.00016882861018530093,0.02409429010003805,20,40,1.0
L20H7,corrupted,final,relevant_source_last,0.0026372242195066065,0.0018936937617185531,0.0003768196329474449,0.007149928715080023,20,40,1.0
L20H7,corrupted,final,relevant_target_mass,0.6869382262229919,0.14036544772567308,0.4118686467409134,0.8966856598854065,20,40,1.0
L20H7,corrupted,final,relevant_target_first,0.14137280914001166,0.1013191611956834,0.039704976603388786,0.43251101672649384,20,40,1.0
L20H7,corrupted,final,relevant_target_last,0.1922265666536987,0.09978399399464775,0.07718854770064354,0.40499670803546906,20,40,1.0
L21H11,corrupted,earlier,self,0.0026465034379674858,0.0010769778796150035,0.0013292461083507917,0.005317056496013803,20,2096,1.0
L21H11,corrupted,earlier,previous,0.0012993111763927973,0.0005011439919183137,0.0006618151849768353,0.0020366680605462227,20,2096,1.0
L21H11,corrupted,earlier,distractor_target_mass,0.0017272793892292378,0.0003765026776366028,0.0011793628576890355,0.0025118552937598553,20,4413,1.0
