head,population,tokens,self_minus_others,mean_self_rank_min,mean_self_rank_max,self_top_fraction
L9H17,nonname,128,0.006937256082892418,56.65625,56.6875,0.0390625
L9H26,name,314,0.001052675535902381,161.21656050955414,161.2515923566879,0.009554140127388535
L9H26,nonname,128,-0.008195505477488041,71.2109375,71.234375,0.0
L11H4,name,314,0.023239679634571075,109.51910828025478,109.58917197452229,0.01592356687898089
L11H4,nonname,128,0.05513099581003189,23.171875,23.171875,0.265625
L11H20,name,314,-0.0017408611020073295,160.05414012738854,160.10509554140128,0.0031847133757961785
L11H20,nonname,128,0.005612379405647516,58.734375,58.7421875,0.0390625
L12H9,name,314,0.002655297052115202,148.47452229299364,148.53503184713375,0.009554140127388535
L12H9,nonname,128,0.003597517032176256,60.1953125,60.234375,0.015625
L13H10,name,314,-0.03113386407494545,209.3535031847134,209.38216560509554,0.0
L13H10,nonname,128,-0.059870924800634384,102.1640625,102.1796875,0.0
L14H10,name,314,-0.0032905074767768383,158.87261146496814,158.9171974522293,0.0031847133757961785
L14H10,nonname,128,-0.005909642204642296,73.2109375,73.21875,0.0078125
L15H0,name,314,0.006468735635280609,143.12420382165604,143.1656050955414,0.0031847133757961785
L15H0,nonname,128,0.018468152731657028,49.2265625,49.2421875,0.046875
L15H18,name,314,0.02960892952978611,99.72292993630573,99.77707006369427,0.01910828025477707
L15H18,nonname,128,0.07325422763824463,14.859375,14.8671875,0.296875
L15H28,name,314,0.006950828712433577,139.1464968152866,139.21337579617835,0.006369426751592357
L15H28,nonname,128,0.009553348645567894,54.2890625,54.3125,0.03125
L16H2,name,314,0.02511022239923477,103.85350318471338,103.88216560509554,0.03184713375796178
L16H2,nonname,128,0.04651734232902527,26.078125,26.078125,0.1484375
L16H21,name,314,-0.02228691056370735,207.2579617834395,207.31210191082803,0.0
L16H21,nonname,128,-0.05582890287041664,107.84375,107.8671875,0.0
L17H1,name,314,0.006174981594085693,144.43949044585986,144.48089171974522,0.0031847133757961785
L17H1,nonname,128,-0.025002945214509964,83.375,83.3828125,0.015625
L17H17,name,314,0.005223624873906374,147.72611464968153,147.77070063694268,0.0031847133757961785
L17H17,nonname,128,-0.004007115960121155,70.109375,70.140625,0.0
L18H15,name,314,0.05865875259041786,51.11464968152866,51.15605095541401,0.1178343949044586
L18H15,nonname,128,0.12416338920593262,8.8203125,8.8203125,0.53125
L18H22,name,314,0.03563612699508667,85.19745222929936,85.25796178343948,0.01910828025477707
L18H22,nonname,128,0.052902162075042725,26.203125,26.2109375,0.1953125
L19H20,name,314,0.011677871458232403,130.85987261146497,130.89171974522293,0.012738853503184714
L19H20,nonname,128,0.01814888045191765,53.5546875,53.5703125,0.046875
L20H7,name,314,-0.000823180889710784,165.19108280254778,165.26433121019107,0.0031847133757961785
L20H7,nonname,128,-0.019171634688973427,86.8125,86.8671875,0.0
L21H11,name,314,-0.012161577120423317,181.87579617834396,181.92675159235668,0.0
L21H11,nonname,128,-0.016558120027184486,79.4140625,79.4296875,0.0078125
L21H23,name,314,-0.004302960820496082,167.71656050955414,167.78662420382165,0.0031847133757961785
L21H23,nonname,128,-0.01104030106216669,76.6484375,76.671875,0.0
L21H27,name,314,0.2777937948703766,45.547770700636946,45.57006369426752,0.4968152866242038
L21H27,nonname,128,0.1966261863708496,7.703125,7.734375,0.65625
L22H31,name,314,0.04411320388317108,106.35031847133757,106.36942675159236,0.07643312101910828
L22H31,nonname,128,0.12311044335365295,21.1796875,21.1796875,0.3046875
L23H17,name,314,-0.014567803591489792,181.53503184713375,181.5796178343949,0.0
L23H17,nonname,128,-0.013297277502715588,73.625,73.6484375,0.0
