head,family,order,base_margin,query_change_margin,source_query_preference_shift,source_reorder_change,source_corruption_change,target_query_preference_shift,target_reorder_change,target_corruption_change
L0H1,192,0,9.294426560401917,6.950620532035828,0.0016533465241082013,0.00014180090511217713,3.559398464858532e-08,0.001565795292663097,0.00010412384017399745,4.813682608073577e-08
L0H1,192,1,2.4967048168182373,7.872818946838379,-0.00393304493627511,-0.0028483172645792365,-1.5925616025924683e-07,-0.0013546157970267814,0.00047071342123672366,3.8671307265758514e-05
L0H1,196,0,7.210710167884827,5.215872526168823,4.775356501340866e-06,0.004585337301250547,-6.367918103933334e-08,9.592185961082578e-07,0.0007604580896440893,3.521725011523813e-05
L0H1,196,1,5.493874192237854,7.508875608444214,-7.0034438977018e-06,-0.004840328358113766,3.9907172322273254e-07,-1.1391020962037146e-06,-0.0008170131350198062,-7.269962225109339e-05
L1H27,0,0,5.38088321685791,1.701812982559204,-0.00016984576359391212,0.0017662071622908115,-3.4531112760305405e-05,0.00030278880149126053,0.0038331830874085426,-0.003734624944627285
L1H27,0,1,2.9023590087890625,7.276455879211426,0.0005059615941718221,-0.006173284025862813,2.2300519049167633e-05,0.00031625013798475266,-0.014112825505435467,-0.009780682623386383
L1H27,16,0,7.11986517906189,2.0677086114883423,-0.0005353826563805342,0.002844637492671609,-3.259512595832348e-05,0.0004138569347560406,0.006589249707758427,-0.00221967208199203
L1H27,16,1,6.09132444858551,4.657310485839844,0.00010494678281247616,-0.002799701876938343,-3.510620445013046e-05,0.00017003831453621387,-0.0066865310072898865,-0.004593187011778355
L1H27,32,0,10.526287913322449,2.1401418447494507,-1.17479357868433e-05,0.0007942898664623499,-2.9991380870342255e-05,-0.00010995427146553993,0.002222335897386074,-0.0010595726780593395
L1H27,32,1,4.772899031639099,5.4145084619522095,3.445916809141636e-05,-0.0019521510694175959,-1.780991442501545e-05,-9.234622120857239e-05,-0.00631890632212162,-0.0034443018957972527
L1H27,48,0,6.600269794464111,6.54676365852356,-5.677156150341034e-05,2.9919901862740517e-06,1.2662028893828392e-05,0.00019525038078427315,-7.368670776486397e-05,-0.00034552253782749176
L1H27,48,1,0.8600050210952759,8.195607900619507,-9.841355495154858e-05,-0.0014291955158114433,2.0919833332300186e-05,-0.00012763310223817825,-0.002759132534265518,-0.0011412044987082481
L1H27,56,0,6.0057220458984375,4.2870378494262695,-3.7048361264169216e-05,-2.8853537514805794e-06,4.975241608917713e-06,-3.308383747935295e-05,-6.990507245063782e-06,-0.0010592695325613022
L1H27,56,1,7.347482919692993,5.46565842628479,-7.148925215005875e-05,-0.0036524776369333267,1.881597563624382e-05,1.2640375643968582e-06,-0.005641974974423647,-0.0017492705956101418
L1H27,64,0,5.855940103530884,1.9371116161346436,-0.00016257097013294697,-0.0013198461383581161,4.1729770600795746e-05,0.0003702836111187935,-0.0017114519141614437,-0.0009966115467250347
L1H27,64,1,2.0614051818847656,8.76237690448761,0.00028395792469382286,-0.005172921111807227,-1.4491379261016846e-06,1.8683727830648422e-05,-0.008036185521632433,-0.0020349081605672836
L1H27,82,0,5.464267611503601,0.4103584289550781,-0.00033945590257644653,0.0011953942012041807,-1.8739840015769005e-05,0.00014166859909892082,0.002796340733766556,-0.00022733770310878754
L1H27,82,1,0.7729959487915039,8.16834032535553,0.00037808320485055447,-0.0015065968036651611,-1.857290044426918e-05,8.082110434770584e-05,-0.0026403339579701424,0.0008799880743026733
L1H27,96,0,8.619663715362549,4.201663374900818,-0.0003509793896228075,1.118471845984459e-05,-2.8925715014338493e-05,0.00032606953755021095,2.8816983103752136e-05,-0.002661599311977625
L1H27,96,1,5.8683531284332275,5.9466001987457275,0.00014335731975734234,-0.002509863581508398,-2.6944559067487717e-05,-0.00011241529136896133,-0.003780882805585861,-0.005525453947484493
L1H27,98,0,4.691381096839905,6.007624268531799,-6.926083005964756e-05,0.00418217945843935,1.2050848454236984e-05,-2.93622724711895e-06,0.004673393443226814,-9.506801143288612e-05
L1H27,98,1,6.054630756378174,8.464698791503906,-0.00022037699818611145,-4.799850285053253e-05,3.570364788174629e-05,0.00010479544289410114,1.4742836356163025e-06,0.00024391431361436844
L1H27,102,0,8.84278678894043,1.4450945854187012,-5.732104182243347e-05,-0.0005791722796857357,5.208142101764679e-05,-0.00012733903713524342,-0.0008373884484171867,0.0016516123432666063
L1H27,102,1,4.0489277839660645,8.330622911453247,5.603861063718796e-05,6.68112188577652e-05,6.661936640739441e-05,4.602363333106041e-05,0.0001614321954548359,0.004866030998528004
L1H27,116,0,8.489528894424438,3.450946569442749,4.325574263930321e-05,-0.0007515870966017246,9.861774742603302e-06,-3.931904211640358e-05,-0.0019154245965182781,-0.0018107674550265074
L1H27,116,1,3.3671345710754395,7.863253831863403,-3.8604484871029854e-05,3.623822703957558e-05,-8.23894515633583e-06,3.968901000916958e-05,3.278814256191254e-05,-0.0021833013743162155
L1H27,130,0,6.983928680419922,1.7240610122680664,-1.5989062376320362e-05,0.0003266882849857211,-1.125340349972248e-05,0.00021470896899700165,0.003560543991625309,-0.0003706379793584347
L1H27,130,1,4.094547152519226,6.008379817008972,-4.623050335794687e-05,-0.0023169154301285744,1.8835999071598053e-06,-0.00021473364904522896,-0.0041352687403559685,-0.0011738138273358345
L1H27,150,0,6.5843751430511475,-0.81303870677948,-2.8801849111914635e-05,-0.000525804003700614,7.397844456136227e-05,1.4491379261016846e-05,-0.001052721869200468,-0.000574217876419425
L1H27,150,1,4.2601600885391235,7.0457524061203,-6.783765275031328e-05,-0.0028881896287202835,0.00010161101818084717,-2.1120067685842514e-06,-0.003242376260459423,-0.001614629290997982
L1H27,154,0,7.268270015716553,-1.4837267398834229,1.346459612250328e-05,0.0008379560895264149,-6.249453872442245e-05,7.982761599123478e-05,0.002407572465017438,0.00018430850468575954
L1H27,154,1,3.4639748334884644,10.117300868034363,-0.00012087170034646988,-0.004355879034847021,-7.46697187423706e-05,-7.170974276959896e-05,-0.005022726720198989,-0.0004028105176985264
L1H27,162,0,6.707120180130005,9.346593618392944,-0.0001080601941794157,1.615204382687807e-05,1.1803815141320229e-05,-3.581121563911438e-05,3.674509935081005e-05,0.0005659637972712517
L1H27,162,1,7.759797930717468,7.023754358291626,2.387457061558962e-05,-0.002419194905087352,8.954666554927826e-06,5.736248567700386e-05,-0.0033752238377928734,0.0010033841244876385
L1H27,176,0,9.172008872032166,0.9334995746612549,-0.0010948897106572986,7.19934469088912e-05,-1.1613592505455017e-06,0.0007413849234580994,0.00017569796182215214,6.313901394605637e-05
L1H27,176,1,5.6944358348846436,5.451282620429993,0.00021640118211507797,-0.0015374489594250917,-1.4428980648517609e-05,-0.0002738658804446459,-0.002891198731958866,-0.0005123354494571686
L1H27,178,0,9.348368525505066,2.068503737449646,-3.756594378501177e-05,-1.999596133828163e-05,8.183647878468037e-06,-3.338325768709183e-05,-0.00017754174768924713,-0.00016653258353471756
