head,family,order,j,text,final,question,punctuation,entities,importance,promotion,suppression
L7H18,0,0,276,Answer,False,True,False,[],0.00341796875,0.00390625,-0.00048828125
L7H18,0,0,277,:,True,True,True,[],0.001708984375,0.00390625,-0.002197265625
L8H15,0,0,234,R,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": true, ""last"": false}]",0.01641845703125,0.01953125,-0.00311279296875
L8H15,0,0,235,arn,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": false, ""last"": false}]",0.0302734375,0.03125,-0.0009765625
L8H15,0,0,236,ia,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": false, ""last"": true}]",0.02587890625,0.0234375,0.00244140625
L8H15,0,0,237,is,False,False,False,[],0.11376953125,0.12890625,-0.01513671875
L8H15,0,0,238,the,False,False,False,[],0.0201416015625,0.0234375,-0.0032958984375
L8H15,0,0,239,mother,False,False,False,[],0.03192138671875,0.03125,0.00067138671875
L8H15,0,0,240,of,False,False,False,[],0.04913330078125,0.0625,-0.01336669921875
L8H15,0,0,241,Jar,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""source"", ""first"": true, ""last"": false}]",0.0015869140625,0.0,0.0015869140625
L8H15,0,0,242,lia,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""source"", ""first"": false, ""last"": true}]",0.0047607421875,0.0078125,-0.0030517578125
L8H15,0,0,243,.,False,False,True,[],-0.001953125,0.0,-0.001953125
