id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,cohort,source,site
G2:L23H15:conditional,noise,89,-0.9328657094012486,0.9328657094012486,-0.89019775390625,-3.398651123046875,-0.046630859375,1.0,0.9775280898876404,True,coherent,-1.0503313297636054,-0.8267179245024585,0.4885853354850512,11.170458413241954,-0.08351185554707302,0.08351185554707302,G2,,conditional,751,,,
G2:L23H15:conditional,restore,89,-0.9019715946711852,0.9034995309422525,-0.7947998046875,-2.912149429321289,0.049072265625,0.9775280898876404,0.9775280898876404,True,coherent,-1.0072320776039294,-0.8061406300309003,0.4353022361069583,11.170458413241954,-0.08074615752581364,0.08088294119346116,G2,,conditional,751,,,
G2:L26H23:change,noise,89,0.0008357977599240421,0.030622333623050304,0.00099945068359375,-0.200927734375,0.214202880859375,0.5280898876404494,0.06741573033707865,False,below_rule,-0.009542297948612256,0.011609697743748001,0.049482546495587636,11.170458413241954,7.482215402487426e-05,0.00274136767625841,G2,,change,855,,,
G2:L26H23:change,restore,89,-0.006668993596280559,0.03374056601792239,-0.0002593994140625,-0.218231201171875,0.10488510131835938,0.5056179775280899,0.06741573033707865,False,below_rule,-0.01788053767064984,0.003920926806632047,0.04956878169199054,11.170458413241954,-0.0005970205831816928,0.0030205175803640107,G2,,change,855,,,
G2:L26H23:conditional,noise,89,-0.3666035178002347,0.37567958269226415,-0.221527099609375,-1.92010498046875,0.2844390869140625,0.9550561797752809,0.7528089887640449,True,coherent,-0.4578721102703823,-0.284374906474285,0.1508271104834053,11.170458413241954,-0.0328190217659865,0.03363152780255795,G2,,conditional,855,,,
G2:L26H23:conditional,restore,89,-0.35367338309127294,0.3565910692965047,-0.225250244140625,-1.884735107421875,0.1132354736328125,0.9775280898876404,0.7415730337078652,True,coherent,-0.4404466421416636,-0.2745091459724342,0.15367018238882,11.170458413241954,-0.03166149230473952,0.0319226889447783,G2,,conditional,855,,,
G2:L6H24:change,noise,89,-0.005318163486009234,0.04934935221511327,-0.014792442321777344,-0.13623046875,0.2394496202468872,0.5955056179775281,0.0898876404494382,False,below_rule,-0.018689615003178627,0.009027231744166163,0.06655072362235423,11.170458413241954,-0.0004760917850698811,0.004417844853762883,G2,,change,216,,,
G2:L6H24:change,restore,89,-0.010834728733877117,0.06053636583049646,-0.00130462646484375,-0.21424102783203125,0.260009765625,0.5168539325842697,0.19101123595505617,False,below_rule,-0.027274157692877093,0.00549817882227093,0.07406855701060777,11.170458413241954,-0.0009699448610840493,0.005419326905933778,G2,,change,216,,,
G2:L6H24:conditional,noise,89,0.09603064381674434,0.2408324560422576,0.0810546875,-0.7868423461914062,1.0479736328125,0.6292134831460674,0.7191011235955056,True,heterogeneous,0.03083702650632751,0.16205232116613494,0.26078138726480893,11.170458413241954,0.008596840009977152,0.021559764795038686,G2,,conditional,216,,,
G2:L6H24:conditional,restore,89,0.1034898597202944,0.21918139832743097,0.093292236328125,-0.706787109375,1.21063232421875,0.651685393258427,0.651685393258427,True,heterogeneous,0.04434136460336407,0.16573256147041748,0.3027658676833249,11.170458413241954,0.009264602748765704,0.019621522252623372,G2,,conditional,216,,,
G2:L8H15:change,noise,89,0.004591337750467022,0.04432508516847418,0.0059814453125,-0.16461944580078125,0.1312255859375,0.5393258426966292,0.0898876404494382,False,below_rule,-0.007583730508772175,0.01635207560624967,0.10464791233619947,11.170458413241954,0.00041102500726597285,0.003968063218957001,G2,,change,271,,,
G2:L8H15:change,restore,89,0.01411650154028046,0.05025803640987096,0.00350189208984375,-0.15932655334472656,0.1758441925048828,0.5393258426966292,0.14606741573033707,False,below_rule,0.00011878442228510184,0.028418470768446332,0.09432057584269662,11.170458413241954,0.0012637352038790222,0.0044991919356051555,G2,,change,271,,,
G2:L8H15:conditional,noise,89,0.2840294047687831,0.3790642478492823,0.26507568359375,-0.955810546875,1.4639892578125,0.7865168539325843,0.8089887640449438,True,coherent,0.2042123226637251,0.36361814723925645,0.5141587230596649,11.170458413241954,0.02542683516301194,0.03393452925798665,G2,,conditional,271,,,
