id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,kind,head,cohort
G2:L18H19:change,noise,20,-0.05066947937011719,0.21046524047851561,-0.056262969970703125,-0.5218658447265625,0.5066070556640625,0.55,0.75,True,heterogeneous,-0.16095704078674317,0.05964765071868883,0.40596542358398435,11.200063323974609,-0.00452403507948524,0.01879143308306109,G2,change,595,
G2:L18H19:conditional,noise,20,3.0297107696533203,3.0297107696533203,2.906951904296875,1.470947265625,4.7357330322265625,1.0,1.0,True,coherent,2.6414377880096436,3.433770990371704,1.8703575134277344,11.200063323974609,0.2705083607132817,0.2705083607132817,G2,conditional,595,
G2:L19H16:change,noise,20,-0.041902804374694826,0.05686862468719482,-0.03948974609375,-0.1788330078125,0.0662384033203125,0.8,0.2,False,below_rule,-0.06944083511829376,-0.015582232475280781,0.17508978843688966,11.200063323974609,-0.003741300666130932,0.005077527067678546,G2,change,624,
G2:L19H16:conditional,noise,20,-0.8927835464477539,0.8927835464477539,-0.839202880859375,-1.6985931396484375,-0.217041015625,1.0,1.0,True,coherent,-1.0637073135375976,-0.7260874509811405,0.5193134307861328,11.200063323974609,-0.0797123659592782,0.0797123659592782,G2,conditional,624,
G2:L1H27:change,noise,20,0.0035716891288757324,0.014718711376190186,0.0013335943222045898,-0.0391845703125,0.0911865234375,0.6,0.0,False,below_rule,-0.006033824682235718,0.015771094858646393,0.026400017738342284,11.200063323974609,0.00031889901204667777,0.001314163228406364,G2,change,59,
G2:L1H27:conditional,noise,20,0.032522189617156985,0.06939352750778198,0.01483154296875,-0.1678466796875,0.23065185546875,0.6,0.25,False,below_rule,-0.00886904150247574,0.07635544538497915,0.12462999820709228,11.200063323974609,0.002903750512511898,0.006195815639652655,G2,conditional,59,
G2:L20H7:change,noise,20,0.043364882469177246,0.1226076364517212,0.015787124633789062,-0.16595458984375,0.324554443359375,0.6,0.55,True,heterogeneous,-0.01969648778438568,0.10984070777893051,0.1693554401397705,11.200063323974609,0.003871842615063732,0.010947048503669616,G2,change,647,
G2:L20H7:conditional,noise,20,-0.03393058776855469,0.3389087677001953,-0.1033935546875,-1.1265640258789062,1.42828369140625,0.65,0.8,True,heterogeneous,-0.2402732276916504,0.19096371650695748,0.2608482360839844,11.200063323974609,-0.0030294996364818422,0.030259540316592195,G2,conditional,647,
G2:L21H25:change,noise,20,0.008317518234252929,0.013966035842895509,0.00910186767578125,-0.02134418487548828,0.034912109375,0.75,0.0,False,below_rule,0.0019217908382415773,0.014433498382568358,0.018245792388916014,11.200063323974609,0.0007426313578467572,0.001246960435750405,G2,change,697,
G2:L21H25:conditional,noise,20,0.06356201171875,0.06918182373046874,0.0526275634765625,-0.04754638671875,0.2950439453125,0.9,0.2,False,below_rule,0.03658897399902344,0.09656197547912596,0.07053680419921875,11.200063323974609,0.00567514753087963,0.0061769136235488645,G2,conditional,697,
G2:L22H5:change,noise,20,0.10319795608520507,0.13519105911254883,0.11540508270263672,-0.1453857421875,0.3639984130859375,0.8,0.6,True,coherent,0.048709213733673096,0.1578323411941528,0.25319347381591795,11.200063323974609,0.009214051126327278,0.012070562031837966,G2,change,709,
G2:L22H5:conditional,noise,20,1.1714617729187011,1.1714617729187011,1.0803451538085938,0.63671875,1.9641265869140625,1.0,1.0,True,coherent,1.0149820065498354,1.3419928979873657,0.8003686904907227,11.200063323974609,0.10459420978550146,0.10459420978550146,G2,conditional,709,
G2:L23H10:change,noise,20,0.002642059326171875,0.0093048095703125,0.00214385986328125,-0.01947021484375,0.03118133544921875,0.55,0.0,False,below_rule,-0.0023308277130126955,0.007840137481689437,0.0210174560546875,11.200063323974609,0.00023589682037925097,0.0008307818715984247,G2,change,746,
G2:L23H10:conditional,noise,20,0.019424819946289064,0.03710517883300781,0.025524139404296875,-0.05352783203125,0.0654296875,0.75,0.0,False,below_rule,0.003482542037963868,0.03418950080871579,0.13068008422851562,11.200063323974609,0.0017343491178937107,0.003312943664664938,G2,conditional,746,
G2:L23H15:change,noise,20,0.016022682189941406,0.14041805267333984,0.00955963134765625,-0.3055572509765625,0.4383544921875,0.5,0.5,True,heterogeneous,-0.0610974645614624,0.09848739624023435,0.20284690856933593,11.200063323974609,0.0014305885356597587,0.012537255246830976,G2,change,751,
G2:L23H15:conditional,noise,20,-0.9332725524902343,0.9332725524902343,-0.91705322265625,-2.30828857421875,-0.245635986328125,1.0,1.0,True,coherent,-1.1336070442199708,-0.7590224456787112,0.47708282470703123,11.200063323974609,-0.08332743534516378,0.08332743534516378,G2,conditional,751,
G2:L25H18:change,noise,20,-0.0049344062805175785,0.008849811553955079,-0.001739501953125,-0.07297515869140625,0.01448822021484375,0.7,0.0,False,below_rule,-0.013425204753875732,0.0008857750892639158,0.01658000946044922,11.200063323974609,-0.0004405694983844508,0.0007901572783978254,G2,change,818,
G2:L25H18:conditional,noise,20,0.000797271728515625,0.043003082275390625,-0.014251708984375,-0.122467041015625,0.3860626220703125,0.3,0.1,False,below_rule,-0.030014266967773436,0.047441864013671876,0.04473419189453125,11.200063323974609,7.118457328799229e-05,0.003839539208973861,G2,conditional,818,
G2:L26H23:change,noise,20,0.01070641279220581,0.047781836986541745,0.00435638427734375,-0.1267242431640625,0.214202880859375,0.6,0.2,False,below_rule,-0.018019554913043974,0.04292916327714912,0.07222154140472412,11.200063323974609,0.0009559243088642095,0.0042662113243825146,G2,change,855,
G2:L26H23:conditional,noise,20,-0.4266944885253906,0.4266944885253906,-0.2394866943359375,-1.92010498046875,-0.046875,1.0,0.95,True,coherent,-0.6298026847839355,-0.2670729446411133,0.19464263916015626,11.200063323974609,-0.03809750678927125,0.03809750678927125,G2,conditional,855,
